CODE1,freq,n_pats
ZZH21,1155,1080
NHK40,1152,1006
SXC03,1151,603
KCW96,1147,186
MAC96,1145,1007
IEY02,1144,95
WD205,1144,336
NA7EA,1143,655
KAT00,1138,576
IFA99,1136,268
WB133,1135,181
WX199,1131,937
NB3AA,1129,689
TPH00,1128,165
SXB00,1127,895
IFA01,1126,505
LCH03,1125,998
NHQ40,1123,780
NHG76,1115,866
ZX100,1115,639
NDJ64,1113,1059
BA3AT,1110,964
JAD30,1106,1013
NH1CG,1105,952
GAA10,1104,848
MBA96,1103,953
ZX140,1103,479
4AA12,1102,201
TPW99,1100,403
PA7BD,1099,976
JN1DG,1096,887
JCA55,1089,419
QCB00,1085,1021
DQB10,1083,600
ENC30,1078,926
NG1BA,1078,974
QXA50,1070,492
XG460,1063,613
R3110,1061,737
ABC56,1060,996
TDA90,1060,616
NG1DA,1058,960
TFC00,1056,837
TJF80,1051,360
ZXX01,1051,663
NHK99,1044,958
BEF00,1040,512
TNH11,1040,522
XKW99,1040,608
TAC99,1037,408
TFC10,1034,947
JHA00,1033,754
TNH33,1032,717
EMB20,1030,1009
BA1AE,1029,886
TQB05,1028,412
DM1AI,1026,906
LCH13,1026,947
YX9AD,1024,880
KEC01,1022,999
QBA25,1022,694
CHC05,1018,809
JA1AE,1018,902
EBA05,1016,870
NFC20,1016,835
TLW12,1014,467
DFF30,1012,941
TMA00,1012,993
QAA50,1008,583
ZXD00,1005,963
EJA10,1002,823
TKC22,1001,927
ZXY02,1000,382
CKD10,998,813
EB1MA,998,796
IBZ01,996,383
6BA02,993,91
PHM99,991,726
PD4BC,982,718
QDG20,982,517
AA1AG,979,938
R21,977,496
AA4CG,976,664
WD515,974,112
FNC30,972,901
WC125,968,114
SXC05,964,442
CHD00,960,805
FL1AC,954,889
NFB20,954,890
SXC02,953,549
ZX050,945,358
NH3EA,943,761
PH1AE,941,754
FXA00,939,925
LAC01,938,888
NE1AD,936,843
NA1EA,935,814
TNG10,932,605
TLW10,931,603
TPH90,929,717
WVC10,928,190
TMW99,925,334
NBG00,923,854
ENC40,922,811
NHL10,920,857
TCG40,918,340
TKC10,917,517
LEG12,914,891
CBB20,903,854
JAB10,902,856
FPE30,901,742
NC2AA,901,586
WX203,901,821
KFD20,900,831
NDG60,900,706
NK6MA,900,436
CBB00,895,812
KEC00,895,891
QDE99,895,525
DE2CG,893,759
XG480,889,809
FJA10,887,246
NB2AT,886,794
NGF15,886,770
NB1BG,882,840
NBE45,871,805
AAB00,864,768
NDJ40,859,815
AA1BM,856,830
HAB50,856,801
XA420,856,708
R4135,848,633
LCD11,847,844
SDA02,847,634
NA6BG,845,793
XF602,841,548
FMD10,840,811
CKD40,837,634
SJC10,837,336
MBA30,833,760
ZXC15,831,475
1XC02,830,254
PJD41,830,722
WZA10,829,540
CKD91,827,717
PD4CG,827,682
XX9XE,823,521
XCC00,814,591
JFB00,813,739
QAB00,813,782
LCD01,810,801
TFP30,810,687
ICB03,809,494
NBJ62,809,749
NHM20,809,636
TFP46,806,651
CA1ME,805,428
NDJ62,802,774
KA1MN,799,253
QX3HE,795,724
CKD70,793,702
UJF14,792,281
CBB11,788,761
NDL32,787,722
YL1AD,787,651
NG1AE,784,631
ACC53,783,695
JFB30,783,758
SJC00,783,169
KCD32,782,402
MBC30,781,722
PBL10,781,641
FM1FN,780,358
QDB99,779,301
GD1CD,776,606
NG1EA,776,707
WX111,775,722
1XC07,774,145
GD1CT,774,695
KA3AT,774,690
NH1BG,774,700
WX730,774,639
KH1CD,773,668
JKE02,772,678
JN4JR,769,368
FM1DG,768,691
NBE35,767,697
JN6BD,763,480
LCA16,761,723
NB1AD,755,663
LGA11,751,729
PAF14,751,686
ZYA02,751,57
CS434,748,562
JC2KB,747,626
PJ3AT,747,673
TND32,744,640
ZXE21,742,489
TAB22,741,662
TBW99,741,307
TFP35,741,616
SJD30,738,234
UJF12,737,198
QAA40,734,316
PEF23,731,634
NBL22,729,705
NG1AD,726,658
TNE25,725,551
YG1AD,725,675
CKD94,722,646
NDR20,721,652
LDB00,720,682
EB1AI,718,623
CKD92,714,606
KED33,714,659
ND2BA,714,614
PE1AT,714,551
EP1CG,713,613
CG2T4,710,310
AA5BD,709,653
NHF25,709,633
QBA10,709,619
YJ2VG,709,647
NFJ54,708,646
XX7CT,708,513
KDV12,707,450
JHA20,706,633
JL5SB,703,550
WX200,703,650
KBV12,702,596
3AC01,700,507
EBA12,700,606
NGE10,699,630
XX9CW,699,613
EKA10,697,609
R1230,695,382
QB2S1,694,483
FN1CB,693,639
AAD10,692,507
PJA10,692,633
WX120,692,552
SCA01,690,459
ZXY61,689,149
XX2AT,688,646
R3540,680,45
HA6AA,679,630
LAF00,679,655
JF1AB,677,565
NCJ40,677,630
LGA22,674,637
PD1BD,673,529
IAA01,671,441
JFB46,671,656
WX202,670,564
QD9S1,669,362
JHD00,668,538
1CX01,667,112
JHD20,667,557
JL5AG,667,559
LBF01,665,636
NHG26,665,537
NA7CG,663,593
KH1BT,660,415
NHK10,660,628
TAC00,660,215
TQW20,659,475
AA1DM,654,567
IER02,654,129
JDB10,654,577
KED52,654,636
XCH05,654,398
NCJ64,652,621
GD1BA,651,490
R1240,651,517
HAE10,650,610
JDF11,649,628
XMA20,647,471
NHL16,646,568
ABD30,641,353
KDV10,641,578
NBU20,637,600
FN1AD,636,575
NA3SA,634,479
XG404,634,369
KCV12,633,267
KEB00,633,465
HAE20,632,591
NFH30,632,313
ZX122,632,151
TNG11,628,360
ELB40,626,601
PJD64,626,612
TJD00,625,519
WC105,619,153
JF2BD,617,598
JN2AE,617,579
NA7DG,617,552
JAL21,616,549
PJD42,616,570
XF603,615,535
KE3AT,613,592
NK4EA,613,536
IDR03,611,47
ZXY58,610,145
NGD25,608,562
AAB10,606,476
NCU20,606,562
IBA01,605,331
NH2AA,605,370
