concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
272,440689,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
273,436957,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
274,434008,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
275,201265,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
276,432882,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
277,317248,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
278,4185470,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
282,433740,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
283,40483560,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
284,433740,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
285,435228,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
286,433740,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
288,438688,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
291,440371,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
303,443605,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
305,4182210,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
306,372608,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
307,373995,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
308,375504,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
309,4264766,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
310,375504,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
311,4203152,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
312,4146763,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
313,4264889,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
315,4101149,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
316,4101149,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
317,4333677,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
318,436665,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
319,440383,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
320,4098302,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
321,444100,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
325,444100,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
326,444100,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
327,4304010,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
328,442077,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
329,440374,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
330,4152371,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
331,434889,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
332,435784,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
335,444243,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
337,439002,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
338,374905,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
339,4335174,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
340,442919,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
341,435521,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
342,4148093,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
346,4333000,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
347,441838,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
348,441838,Maps to,2014-10-14,2099-12-31,NA,ICD10fi
349,4105190,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
350,433752,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
351,4338512,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
352,4173740,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
353,4335174,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
355,432586,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
356,432586,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
357,432612,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
358,436682,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
359,432898,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
360,438733,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
364,4043545,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
365,436373,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
366,4085156,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
367,4148091,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
368,40481800,Maps to,2014-10-14,2099-12-31,NA,ICD10fi
