CodeId,ShortName,TOIMENPIDE,freq_tays,freq_tays_per
H0069,NA,H0069,2905,0.063382%
H0499,NA,H0499,2887,0.062989%
H0059,NA,H0059,2803,0.061156%
RP125,NA,RP125,2775,0.060546%
H0114,NA,H0114,2763,0.060284%
H0904,NA,H0904,2604,0.056815%
S2900,NA,S2900,2588,0.056466%
H0102,NA,H0102,2550,0.055636%
K412,NA,K412,2529,0.055178%
H0009,NA,H0009,2407,0.052516%
H1201,NA,H1201,2398,0.052320%
H0567,NA,H0567,2383,0.051993%
F933,NA,F933,2374,0.051796%
K320,NA,K320,2343,0.051120%
H0293,NA,H0293,2190,0.047782%
H0284,NA,H0284,2187,0.047716%
RS311,NA,RS311,2178,0.047520%
H0060,NA,H0060,2137,0.046626%
H0121,NA,H0121,2130,0.046473%
H0141,NA,H0141,2126,0.046386%
K230,NA,K230,2064,0.045033%
H0002,NA,H0002,2063,0.045011%
H0129,NA,H0129,2014,0.043942%
H0454,NA,H0454,1985,0.043309%
H0565,NA,H0565,1976,0.043113%
1279,NA,1279,1963,0.042829%
H0479,NA,H0479,1916,0.041804%
F340,NA,F340,1893,0.041302%
H0220,NA,H0220,1877,0.040953%
H0356,NA,H0356,1832,0.039971%
2682,NA,2682,1780,0.038836%
H0014,NA,H0014,1693,0.036938%
H0150,NA,H0150,1680,0.036655%
K110,NA,K110,1645,0.035891%
H0303,NA,H0303,1637,0.035716%
H0117,NA,H0117,1621,0.035367%
H0491,NA,H0491,1619,0.035324%
H0572,NA,H0572,1594,0.034778%
F300,NA,F300,1592,0.034735%
H0561,NA,H0561,1582,0.034516%
2068,NA,2068,1538,0.033556%
H0265,NA,H0265,1520,0.033164%
H0004,NA,H0004,1517,0.033098%
H0945,NA,H0945,1514,0.033033%
F904,NA,F904,1449,0.031615%
H0120,NA,H0120,1448,0.031593%
H0115,NA,H0115,1445,0.031527%
6280,NA,6280,1442,0.031462%
H0445,NA,H0445,1430,0.031200%
F921,NA,F921,1405,0.030655%
RS130,NA,RS130,1399,0.030524%
H0633,NA,H0633,1398,0.030502%
F961,NA,F961,1395,0.030436%
K224,NA,K224,1374,0.029978%
F236,NA,F236,1373,0.029956%
A121,NA,A121,1367,0.029826%
RS313,NA,RS313,1360,0.029673%
RS122,NA,RS122,1359,0.029651%
RP123,NA,RP123,1336,0.029149%
H0944,NA,H0944,1296,0.028276%
S2700,NA,S2700,1285,0.028036%
H0261,NA,H0261,1221,0.026640%
H0001,NA,H0001,1203,0.026247%
XX9GW,NA,XX9GW,1161,0.025331%
N1302,NA,N1302,1147,0.025025%
H0721,NA,H0721,1143,0.024938%
RS211,NA,RS211,1142,0.024916%
H0634,NA,H0634,1135,0.024764%
K1,NA,K1,1117,0.024371%
RP215,NA,RP215,1116,0.024349%
RS224,NA,RS224,1112,0.024262%
RS390,NA,RS390,1097,0.023935%
H0722,NA,H0722,1095,0.023891%
F972,NA,F972,1083,0.023629%
H0650,NA,H0650,1070,0.023345%
H5009,NA,H5009,1034,0.022560%
H0043,NA,H0043,1032,0.022516%
H0625,NA,H0625,1030,0.022473%
H0260,NA,H0260,1011,0.022058%
RP210,NA,RP210,998,0.021775%
RP231,NA,RP231,984,0.021469%
RS314,NA,RS314,982,0.021425%
RP122,NA,RP122,941,0.020531%
H0263,NA,H0263,931,0.020313%
H0313,NA,H0313,927,0.020225%
6280P,NA,6280P,919,0.020051%
H0152,NA,H0152,913,0.019920%
H0730,NA,H0730,897,0.019571%
H0204,NA,H0204,878,0.019156%
A220,NA,A220,868,0.018938%
K121,NA,K121,860,0.018764%
H0432,NA,H0432,859,0.018742%
H0194,NA,H0194,857,0.018698%
