CodeId,ShortName,TOIMENPIDE,freq_tays,freq_tays_per
H2033,NA,H2033,12,0.000262%
RP730,NA,RP730,12,0.000262%
RS215,NA,RS215,12,0.000262%
RS332,NA,RS332,12,0.000262%
1295P,NA,1295P,12,0.000262%
1312,NA,1312,12,0.000262%
F352,NA,F352,12,0.000262%
H0172,NA,H0172,11,0.000240%
H0460,NA,H0460,11,0.000240%
H0703,NA,H0703,11,0.000240%
H0719,NA,H0719,11,0.000240%
H0912,NA,H0912,11,0.000240%
H2103,NA,H2103,11,0.000240%
3541,NA,3541,11,0.000240%
6009,NA,6009,11,0.000240%
F324,NA,F324,11,0.000240%
H0050,NA,H0050,10,0.000218%
H0613,NA,H0613,10,0.000218%
H2044,NA,H2044,10,0.000218%
S3141,NA,S3141,10,0.000218%
3388P,NA,3388P,10,0.000218%
AA3BI,NA,AA3BI,10,0.000218%
N1299,NA,N1299,10,0.000218%
N4919,NA,N4919,10,0.000218%
H0195,NA,H0195,9,0.000196%
H0215,NA,H0215,9,0.000196%
H0300,NA,H0300,9,0.000196%
H0487,NA,H0487,9,0.000196%
H0516,NA,H0516,9,0.000196%
H2025,NA,H2025,9,0.000196%
H2046,NA,H2046,9,0.000196%
H2048,NA,H2048,9,0.000196%
H2051,NA,H2051,9,0.000196%
RP240,NA,RP240,9,0.000196%
SPA03,NA,SPA03,9,0.000196%
2910,NA,2910,9,0.000196%
F377,NA,F377,9,0.000196%
F420,NA,F420,9,0.000196%
F902,NA,F902,9,0.000196%
N1279,NA,N1279,9,0.000196%
N3534,NA,N3534,9,0.000196%
N3549,NA,N3549,9,0.000196%
H0606,NA,H0606,8,0.000175%
H0615,NA,H0615,8,0.000175%
H0801,NA,H0801,8,0.000175%
K510,NA,K510,8,0.000175%
S3131,NA,S3131,8,0.000175%
4902,NA,4902,8,0.000175%
6065,NA,6065,8,0.000175%
6286,NA,6286,8,0.000175%
F357,NA,F357,8,0.000175%
N1280,NA,N1280,8,0.000175%
N1288,NA,N1288,8,0.000175%
A323,NA,A323,7,0.000153%
F200,NA,F200,7,0.000153%
H0053,NA,H0053,7,0.000153%
H0315,NA,H0315,7,0.000153%
H0342,NA,H0342,7,0.000153%
H0744,NA,H0744,7,0.000153%
H0908,NA,H0908,7,0.000153%
H2010,NA,H2010,7,0.000153%
RP2,NA,RP2,7,0.000153%
RP720,NA,RP720,7,0.000153%
RS214,NA,RS214,7,0.000153%
S3120,NA,S3120,7,0.000153%
4934,NA,4934,7,0.000153%
AA3CI,NA,AA3CI,7,0.000153%
F761,NA,F761,7,0.000153%
F803,NA,F803,7,0.000153%
N1312,NA,N1312,7,0.000153%
A390,NA,A390,6,0.000131%
H0013,NA,H0013,6,0.000131%
H0089,NA,H0089,6,0.000131%
H0241,NA,H0241,6,0.000131%
H0326,NA,H0326,6,0.000131%
H0390,NA,H0390,6,0.000131%
H0496,NA,H0496,6,0.000131%
H0556,NA,H0556,6,0.000131%
S3121,NA,S3121,6,0.000131%
SJC70,NA,SJC70,6,0.000131%
1609,NA,1609,6,0.000131%
20110,NA,20110,6,0.000131%
2671,NA,2671,6,0.000131%
6008,NA,6008,6,0.000131%
6282,NA,6282,6,0.000131%
6291,NA,6291,6,0.000131%
F1011,NA,F1011,6,0.000131%
F291,NA,F291,6,0.000131%
F294,NA,F294,6,0.000131%
F762,NA,F762,6,0.000131%
N1732,NA,N1732,6,0.000131%
N3387,NA,N3387,6,0.000131%
N3541,NA,N3541,6,0.000131%
N3551,NA,N3551,6,0.000131%
A3,NA,A3,5,0.000109%
H0119,NA,H0119,5,0.000109%
H0145,NA,H0145,5,0.000109%
H0177,NA,H0177,5,0.000109%
H0185,NA,H0185,5,0.000109%
H0337,NA,H0337,5,0.000109%
H0970,NA,H0970,5,0.000109%
H2015,NA,H2015,5,0.000109%
L01BA,NA,L01BA,5,0.000109%
RP8,NA,RP8,5,0.000109%
SPF51,NA,SPF51,5,0.000109%
1191,NA,1191,5,0.000109%
3542R,NA,3542R,5,0.000109%
3546,NA,3546,5,0.000109%
6288P,NA,6288P,5,0.000109%
F354,NA,F354,5,0.000109%
N1301,NA,N1301,5,0.000109%
N1612,NA,N1612,5,0.000109%
N4911,NA,N4911,5,0.000109%
N4927,NA,N4927,5,0.000109%
PD5ZT,NA,PD5ZT,5,0.000109%
A490,NA,A490,4,0.000087%
A540,NA,A540,4,0.000087%
H0019,NA,H0019,4,0.000087%
H0039,NA,H0039,4,0.000087%
H0058,NA,H0058,4,0.000087%
H0136,NA,H0136,4,0.000087%
H0165,NA,H0165,4,0.000087%
H0171,NA,H0171,4,0.000087%
H0258,NA,H0258,4,0.000087%
H0464,NA,H0464,4,0.000087%
H0551,NA,H0551,4,0.000087%
H0575,NA,H0575,4,0.000087%
H2009,NA,H2009,4,0.000087%
H2014,NA,H2014,4,0.000087%
K511,NA,K511,4,0.000087%
RP350,NA,RP350,4,0.000087%
S3150,NA,S3150,4,0.000087%
SPA70,NA,SPA70,4,0.000087%
SPF70,NA,SPF70,4,0.000087%
KGO99,NA,KGO99,4,0.000087%
LEO99,NA,LEO99,4,0.000087%
3543,NA,3543,4,0.000087%
F216,NA,F216,4,0.000087%
F356,NA,F356,4,0.000087%
F706,NA,F706,4,0.000087%
F815,NA,F815,4,0.000087%
F903,NA,F903,4,0.000087%
F937,NA,F937,4,0.000087%
XX1NW,NA,XX1NW,4,0.000087%
A2,NA,A2,3,0.000065%
A520,NA,A520,3,0.000065%
A590,NA,A590,3,0.000065%
BE10B,NA,BE10B,3,0.000065%
F314,NA,F314,3,0.000065%
H0109,NA,H0109,3,0.000065%
H0163,NA,H0163,3,0.000065%
H0311,NA,H0311,3,0.000065%
H0412,NA,H0412,3,0.000065%
H0467,NA,H0467,3,0.000065%
H0555,NA,H0555,3,0.000065%
H0598,NA,H0598,3,0.000065%
H0612,NA,H0612,3,0.000065%
H0623,NA,H0623,3,0.000065%
H0907,NA,H0907,3,0.000065%
H2019,NA,H2019,3,0.000065%
H2031,NA,H2031,3,0.000065%
H2049,NA,H2049,3,0.000065%
H5008,NA,H5008,3,0.000065%
H5013,NA,H5013,3,0.000065%
K5,NA,K5,3,0.000065%
RP127,NA,RP127,3,0.000065%
RP610,NA,RP610,3,0.000065%
S3140,NA,S3140,3,0.000065%
TutkT,NA,TutkT,3,0.000065%
6293,NA,6293,3,0.000065%
F268,NA,F268,3,0.000065%
F417,NA,F417,3,0.000065%
F781,NA,F781,3,0.000065%
F784,NA,F784,3,0.000065%
F812,NA,F812,3,0.000065%
F814,NA,F814,3,0.000065%
F934,NA,F934,3,0.000065%
N1614,NA,N1614,3,0.000065%
N1786,NA,N1786,3,0.000065%
N3392,NA,N3392,3,0.000065%
N3532,NA,N3532,3,0.000065%
N3548,NA,N3548,3,0.000065%
N3550,NA,N3550,3,0.000065%
N4900,NA,N4900,3,0.000065%
XCW36,NA,XCW36,3,0.000065%
103,NA,103,2,0.000044%
A4,NA,A4,2,0.000044%
A521,NA,A521,2,0.000044%
AC00C,NA,AC00C,2,0.000044%
F120,NA,F120,2,0.000044%
F130,NA,F130,2,0.000044%
F252,NA,F252,2,0.000044%
F313,NA,F313,2,0.000044%
H0036,NA,H0036,2,0.000044%
H0078,NA,H0078,2,0.000044%
H0154,NA,H0154,2,0.000044%
H0217,NA,H0217,2,0.000044%
H0246,NA,H0246,2,0.000044%
H0306,NA,H0306,2,0.000044%
H0317,NA,H0317,2,0.000044%
H0333,NA,H0333,2,0.000044%
H0341,NA,H0341,2,0.000044%
H0346,NA,H0346,2,0.000044%
H0438,NA,H0438,2,0.000044%
H0480,NA,H0480,2,0.000044%
H0490,NA,H0490,2,0.000044%
H0501,NA,H0501,2,0.000044%
H0507,NA,H0507,2,0.000044%
H0513,NA,H0513,2,0.000044%
H0533,NA,H0533,2,0.000044%
H0576,NA,H0576,2,0.000044%
H0614,NA,H0614,2,0.000044%
H0709,NA,H0709,2,0.000044%
H0743,NA,H0743,2,0.000044%
H0964,NA,H0964,2,0.000044%
H2011,NA,H2011,2,0.000044%
H2032,NA,H2032,2,0.000044%
H5003,NA,H5003,2,0.000044%
K610,NA,K610,2,0.000044%
L01XC,NA,L01XC,2,0.000044%
RS423,NA,RS423,2,0.000044%
S3111,NA,S3111,2,0.000044%
S3143,NA,S3143,2,0.000044%
S3151,NA,S3151,2,0.000044%
SJC60,NA,SJC60,2,0.000044%
SPA04,NA,SPA04,2,0.000044%
TutkW,NA,TutkW,2,0.000044%
X730,NA,X730,2,0.000044%
ZX196,NA,ZX196,2,0.000044%
ZX197,NA,ZX197,2,0.000044%
4129,NA,4129,2,0.000044%
4904,NA,4904,2,0.000044%
F1000,NA,F1000,2,0.000044%
F234,NA,F234,2,0.000044%
F239,NA,F239,2,0.000044%
F287,NA,F287,2,0.000044%
F358,NA,F358,2,0.000044%
F426,NA,F426,2,0.000044%
F615,NA,F615,2,0.000044%
F693,NA,F693,2,0.000044%
F724,NA,F724,2,0.000044%
F765,NA,F765,2,0.000044%
F847,NA,F847,2,0.000044%
F867,NA,F867,2,0.000044%
F881,NA,F881,2,0.000044%
F911,NA,F911,2,0.000044%
F960,NA,F960,2,0.000044%
N1609,NA,N1609,2,0.000044%
N3540,NA,N3540,2,0.000044%
N3543,NA,N3543,2,0.000044%
N4902,NA,N4902,2,0.000044%
N4926,NA,N4926,2,0.000044%
XX7ET,NA,XX7ET,2,0.000044%
XX8AW,NA,XX8AW,2,0.000044%
101,NA,101,1,0.000022%
AC00B,NA,AC00B,1,0.000022%
BC00A,NA,BC00A,1,0.000022%
E110,NA,E110,1,0.000022%
F114,NA,F114,1,0.000022%
F129,NA,F129,1,0.000022%
F140,NA,F140,1,0.000022%
F143,NA,F143,1,0.000022%
F149,NA,F149,1,0.000022%
F219,NA,F219,1,0.000022%
F229,NA,F229,1,0.000022%
F230,NA,F230,1,0.000022%
F250,NA,F250,1,0.000022%
F315,NA,F315,1,0.000022%
F430,NA,F430,1,0.000022%
F510,NA,F510,1,0.000022%
F600,NA,F600,1,0.000022%
F610,NA,F610,1,0.000022%
H0010,NA,H0010,1,0.000022%
H0024,NA,H0024,1,0.000022%
H0064,NA,H0064,1,0.000022%
H0134,NA,H0134,1,0.000022%
H0143,NA,H0143,1,0.000022%
H0167,NA,H0167,1,0.000022%
H0170,NA,H0170,1,0.000022%
H0219,NA,H0219,1,0.000022%
H0245,NA,H0245,1,0.000022%
H0247,NA,H0247,1,0.000022%
H0302,NA,H0302,1,0.000022%
H0307,NA,H0307,1,0.000022%
H0310,NA,H0310,1,0.000022%
H0329,NA,H0329,1,0.000022%
H0345,NA,H0345,1,0.000022%
H0364,NA,H0364,1,0.000022%
H0365,NA,H0365,1,0.000022%
H0371,NA,H0371,1,0.000022%
H0373,NA,H0373,1,0.000022%
H0436,NA,H0436,1,0.000022%
H0447,NA,H0447,1,0.000022%
H0470,NA,H0470,1,0.000022%
H0492,NA,H0492,1,0.000022%
H0515,NA,H0515,1,0.000022%
H0522,NA,H0522,1,0.000022%
H0568,NA,H0568,1,0.000022%
H0619,NA,H0619,1,0.000022%
H0620,NA,H0620,1,0.000022%
H0641,NA,H0641,1,0.000022%
H0642,NA,H0642,1,0.000022%
H0643,NA,H0643,1,0.000022%
H0661,NA,H0661,1,0.000022%
H0705,NA,H0705,1,0.000022%
H0711,NA,H0711,1,0.000022%
H0724,NA,H0724,1,0.000022%
H0807,NA,H0807,1,0.000022%
H0903,NA,H0903,1,0.000022%
H0913,NA,H0913,1,0.000022%
H0948,NA,H0948,1,0.000022%
H2020,NA,H2020,1,0.000022%
H2036,NA,H2036,1,0.000022%
H2050,NA,H2050,1,0.000022%
K623,NA,K623,1,0.000022%
K960,NA,K960,1,0.000022%
PH07,NA,PH07,1,0.000022%
PH07W,NA,PH07W,1,0.000022%
PH15T,NA,PH15T,1,0.000022%
RP250,NA,RP250,1,0.000022%
RP630,NA,RP630,1,0.000022%
RP930,NA,RP930,1,0.000022%
S3110,NA,S3110,1,0.000022%
S3123,NA,S3123,1,0.000022%
S3142,NA,S3142,1,0.000022%
S3160,NA,S3160,1,0.000022%
UEN02,NA,UEN02,1,0.000022%
utk,NA,utk,1,0.000022%
X722,NA,X722,1,0.000022%
X7308,NA,X7308,1,0.000022%
XX3NW,NA,XX3NW,1,0.000022%
JFB 5,NA,JFB 5,1,0.000022%
KCW99,NA,KCW99,1,0.000022%
LAD02,NA,LAD02,1,0.000022%
WX4 -,NA,WX4 -,1,0.000022%
10030,NA,10030,1,0.000022%
1306,NA,1306,1,0.000022%
1307P,NA,1307P,1,0.000022%
3532,NA,3532,1,0.000022%
3542P,NA,3542P,1,0.000022%
3543P,NA,3543P,1,0.000022%
4911,NA,4911,1,0.000022%
CDROM,NA,CDROM,1,0.000022%
F247,NA,F247,1,0.000022%
F253,NA,F253,1,0.000022%
F256,NA,F256,1,0.000022%
F286,NA,F286,1,0.000022%
F298,NA,F298,1,0.000022%
F299,NA,F299,1,0.000022%
F312,NA,F312,1,0.000022%
F428,NA,F428,1,0.000022%
F502,NA,F502,1,0.000022%
F704,NA,F704,1,0.000022%
F787,NA,F787,1,0.000022%
F811,NA,F811,1,0.000022%
F880,NA,F880,1,0.000022%
F958,NA,F958,1,0.000022%
KH1XD,NA,KH1XD,1,0.000022%
LV1MR,NA,LV1MR,1,0.000022%
LV2MR,NA,LV2MR,1,0.000022%
N1297,NA,N1297,1,0.000022%
N1308,NA,N1308,1,0.000022%
N3533,NA,N3533,1,0.000022%
XX4YA,NA,XX4YA,1,0.000022%
YA1VD,NA,YA1VD,1,0.000022%
ZXH13,NA,ZXH13,1,0.000022%
ZXH15,NA,ZXH15,1,0.000022%
