CodeId,CODE1,CODE2,freq_finngen,freq_finngen_per
NA,F1000,F1000,153,0.0008811%
NA,F1003,F1003,6,0.0000346%
NA,F101,F101,397,0.0022863%
NA,F102,F102,125,0.0007199%
NA,F1020,F1020,46,0.0002649%
NA,F1021,F1021,14,0.0000806%
NA,F1024,F1024,39,0.0002246%
NA,F1025,F1025,16,0.0000921%
NA,F1026,F1026,39,0.0002246%
NA,F1029,F1029,32,0.0001843%
NA,F1030,F1030,29,0.0001670%
NA,F1031,F1031,9,0.0000518%
NA,F1040,F1040,13,0.0000749%
NA,F1052,F1052,9,0.0000518%
NA,F109,F109,26,0.0001497%
NA,F112,F112,68,0.0003916%
NA,F1125,F1125,39,0.0002246%
NA,F151,F151,8,0.0000461%
NA,F152,F152,75,0.0004319%
NA,F1529,NA,16,0.0000921%
NA,F155,F155,8,0.0000461%
NA,F1550,NA,10,0.0000576%
NA,F1900,F1900,9,0.0000518%
NA,F192,F192,27,0.0001555%
NA,F1920,F1920,32,0.0001843%
NA,F1924,F1924,26,0.0001497%
NA,F1925,F1925,75,0.0004319%
NA,F1929,F1929,43,0.0002476%
NA,F1930,F1930,10,0.0000576%
NA,F20,F20,407,0.0023439%
NA,F200,F200,3416,0.0196728%
NA,F2000,F2000,1183,0.0068129%
NA,F2001,F2001,55,0.0003167%
NA,F2002,F2002,33,0.0001900%
NA,F2004,F2004,159,0.0009157%
NA,F2009,F2009,16,0.0000921%
NA,F201,F201,3194,0.0183943%
NA,F2010,F2010,388,0.0022345%
NA,F202,F202,816,0.0046994%
NA,F203,F203,3011,0.0173404%
NA,F2030,F2030,740,0.0042617%
NA,F2032,F2032,174,0.0010021%
NA,F2033,F2033,50,0.0002880%
NA,F2034,F2034,81,0.0004665%
NA,F2038,F2038,44,0.0002534%
NA,F2039,F2039,217,0.0012497%
NA,F204,F204,129,0.0007429%
NA,F205,F205,724,0.0041695%
NA,F2050,NA,52,0.0002995%
NA,F206,F206,197,0.0011345%
NA,F2060,NA,13,0.0000749%
NA,F208,F208,224,0.0012900%
NA,F2080,NA,9,0.0000518%
NA,F209,F209,1867,0.0107521%
NA,F2090,F2090,11,0.0000633%
NA,F2090,NA,81,0.0004665%
NA,F2094,NA,13,0.0000749%
NA,F2098,NA,6,0.0000346%
NA,F2099,NA,15,0.0000864%
NA,F21,F21,1044,0.0060124%
NA,F22,F22,41,0.0002361%
NA,F220,F220,1080,0.0062197%
NA,F229,F229,149,0.0008581%
NA,F230,F230,43,0.0002476%
NA,F2300,F2300,40,0.0002304%
NA,F232,F232,149,0.0008581%
NA,F2320,F2320,34,0.0001958%
NA,F233,F233,194,0.0011173%
NA,F238,F238,238,0.0013706%
NA,F239,F239,245,0.0014110%
NA,F2390,F2390,94,0.0005413%
NA,F2391,F2391,90,0.0005183%
NA,F2399,F2399,26,0.0001497%
NA,F25,F25,710,0.0040889%
NA,F250,F250,162,0.0009330%
NA,F2500,F2500,83,0.0004780%
NA,F2501,F2501,118,0.0006796%
NA,F251,F251,523,0.0030120%
NA,F2510,F2510,115,0.0006623%
NA,F2511,F2511,39,0.0002246%
