CodeId,CODE1,CODE2,freq_finngen,freq_finngen_per
NA,K0769,K0769,19,0.0001094%
NA,K081,K081,111,0.0006393%
NA,K082,K082,101,0.0005817%
NA,K083,K083,64,0.0003686%
NA,K088,NA,19,0.0001094%
NA,K090,K090,21,0.0001209%
NA,K092,K092,21,0.0001209%
NA,K103,K103,15,0.0000864%
NA,K112,K112,177,0.0010193%
NA,K115,K115,101,0.0005817%
NA,K116,K116,24,0.0001382%
NA,K1169,K1169,16,0.0000921%
NA,K119,K119,16,0.0000921%
NA,K120,NA,88,0.0005068%
NA,K1200,K1200,19,0.0001094%
NA,K1204,NA,54,0.0003110%
NA,K1209,NA,18,0.0001037%
NA,K121,K121,16,0.0000921%
NA,K121,NA,83,0.0004780%
NA,K1210,K1210,12,0.0000691%
NA,K1219,NA,11,0.0000633%
NA,K122,K122,64,0.0003686%
NA,K132,K132,43,0.0002476%
NA,K1320,K1320,30,0.0001728%
NA,K1329,K1329,28,0.0001613%
NA,K136,K136,18,0.0001037%
NA,K1401,NA,23,0.0001325%
NA,K141,K141,9,0.0000518%
NA,K146,K146,9,0.0000518%
NA,K1460,K1460,10,0.0000576%
NA,K1461,K1461,20,0.0001152%
NA,K20,K20,66,0.0003801%
NA,K21,K21,71,0.0004089%
NA,K210,K210,1110,0.0063925%
NA,K219,K219,364,0.0020963%
NA,K220,K220,18,0.0001037%
NA,K221,K221,104,0.0005989%
NA,K222,K222,41,0.0002361%
NA,K224,K224,19,0.0001094%
NA,K225,K225,8,0.0000461%
NA,K226,K226,13,0.0000749%
NA,K25,K25,8,0.0000461%
NA,K250,K250,32,0.0001843%
NA,K251,K251,8,0.0000461%
NA,K253,K253,34,0.0001958%
NA,K254,K254,14,0.0000806%
NA,K257,K257,61,0.0003513%
NA,K259,K259,136,0.0007832%
NA,K26,K26,15,0.0000864%
NA,K260,K260,32,0.0001843%
NA,K263,K263,18,0.0001037%
NA,K264,K264,15,0.0000864%
NA,K267,K267,21,0.0001209%
NA,K269,K269,102,0.0005874%
NA,K279,K279,6,0.0000346%
NA,K290,K290,47,0.0002707%
NA,K291,K291,141,0.0008120%
NA,K292,K292,19,0.0001094%
NA,K293,K293,280,0.0016125%
NA,K294,K294,175,0.0010078%
NA,K295,K295,204,0.0011748%
NA,K296,K296,53,0.0003052%
NA,K297,K297,230,0.0013246%
NA,K298,K298,61,0.0003513%
NA,K299,K299,29,0.0001670%
NA,K30,K30,458,0.0026376%
NA,K318,K318,24,0.0001382%
NA,K35,K35,17,0.0000979%
NA,K350,K350,11,0.0000633%
NA,K351,K351,24,0.0001382%
NA,K359,K359,390,0.0022460%
NA,K400,K400,6,0.0000346%
NA,K402,K402,50,0.0002880%
NA,K403,K403,30,0.0001728%
NA,K404,K404,9,0.0000518%
NA,K409,K409,673,0.0038758%
NA,K419,K419,31,0.0001785%
NA,K42,K42,7,0.0000403%
NA,K420,K420,18,0.0001037%
NA,K429,K429,131,0.0007544%
NA,K430,K430,18,0.0001037%
NA,K439,K439,170,0.0009790%
NA,K440,K440,9,0.0000518%
NA,K449,K449,435,0.0025052%
NA,K469,K469,11,0.0000633%
NA,K50,K50,14,0.0000806%
NA,K500,K500,309,0.0017795%
NA,K501,K501,424,0.0024418%
NA,K508,K508,698,0.0040198%
NA,K509,K509,283,0.0016298%
NA,K51,K51,69,0.0003974%
NA,K510,K510,153,0.0008811%
NA,K511,K511,287,0.0016528%
NA,K512,K512,228,0.0013131%
NA,K513,K513,573,0.0032999%
NA,K515,K515,707,0.0040716%
NA,K518,K518,199,0.0011460%
NA,K519,K519,482,0.0027759%
NA,K522,K522,153,0.0008811%
NA,K528,K528,13,0.0000749%
NA,K528,NA,30,0.0001728%
NA,K5280,K5280,13,0.0000749%
NA,K5288,K5288,65,0.0003743%
NA,K529,K529,204,0.0011748%
NA,K560,K560,23,0.0001325%
NA,K565,K565,30,0.0001728%
NA,K566,K566,56,0.0003225%
NA,K567,K567,34,0.0001958%
NA,K57,K57,8,0.0000461%
NA,K570,K570,8,0.0000461%
NA,K571,K571,23,0.0001325%
NA,K572,K572,25,0.0001440%
NA,K573,K573,611,0.0035188%
NA,K579,K579,32,0.0001843%
NA,K58,K58,15,0.0000864%
NA,K580,K580,301,0.0017335%
NA,K589,K589,194,0.0011173%
NA,K590,K590,351,0.0020214%
NA,K591,K591,124,0.0007141%
NA,K600,K600,53,0.0003052%
NA,K601,K601,117,0.0006738%
NA,K602,K602,37,0.0002131%
NA,K603,K603,155,0.0008926%
NA,K604,K603,8,0.0000461%
NA,K610,K610,105,0.0006047%
NA,K611,K611,14,0.0000806%
NA,K612,K612,13,0.0000749%
NA,K620,K620,40,0.0002304%
NA,K621,K621,30,0.0001728%
NA,K622,K622,26,0.0001497%
NA,K623,K623,39,0.0002246%
NA,K625,K625,130,0.0007487%
NA,K628,K628,27,0.0001555%
NA,K629,K629,17,0.0000979%
NA,K638,K638,15,0.0000864%
NA,K650,K650,44,0.0002534%
NA,K700,K700,8,0.0000461%
NA,K701,K701,21,0.0001209%
NA,K703,K703,27,0.0001555%
NA,K732,K732,115,0.0006623%
NA,K739,K739,46,0.0002649%
NA,K743,K743,230,0.0013246%
NA,K746,K746,14,0.0000806%
NA,K759,K759,75,0.0004319%
NA,K760,K760,48,0.0002764%
NA,K768,NA,14,0.0000806%
NA,K769,K769,108,0.0006220%
NA,K80,K80,21,0.0001209%
NA,K80,K802,9,0.0000518%
NA,K800,K800,121,0.0006968%
NA,K801,K801,72,0.0004146%
NA,K802,K802,666,0.0038355%
NA,K803,K803,14,0.0000806%
NA,K804,K804,13,0.0000749%
NA,K805,K805,90,0.0005183%
NA,K808,K808,13,0.0000749%
NA,K810,K810,20,0.0001152%
NA,K819,K819,6,0.0000346%
NA,K824,K824,10,0.0000576%
NA,K830,K830,175,0.0010078%
NA,K831,K831,26,0.0001497%
NA,K85,K85,119,0.0006853%
NA,K860,K860,26,0.0001497%
NA,K860,NA,33,0.0001900%
NA,K8600,K8600,73,0.0004204%
NA,K8608,K8608,21,0.0001209%
NA,K861,K861,27,0.0001555%
NA,K863,K863,87,0.0005010%
NA,K869,K869,10,0.0000576%
NA,K90,K90,22,0.0001267%
NA,K900,K900,560,0.0032251%
NA,K909,K909,20,0.0001152%
NA,K911,K911,7,0.0000403%
NA,K912,K912,33,0.0001900%
NA,K920,K920,97,0.0005586%
NA,K921,K921,131,0.0007544%
NA,K922,K922,29,0.0001670%
NA,L010,L010,19,0.0001094%
NA,L02,L02,13,0.0000749%
NA,L020,L020,24,0.0001382%
NA,L021,L021,36,0.0002073%
NA,L022,L022,38,0.0002188%
NA,L023,L023,37,0.0002131%
NA,L024,L024,43,0.0002476%
NA,L028,L028,16,0.0000921%
NA,L029,L029,46,0.0002649%
NA,L030,L030,58,0.0003340%
NA,L031,L031,31,0.0001785%
NA,L032,L032,14,0.0000806%
NA,L038,L038,11,0.0000633%
NA,L039,L039,11,0.0000633%
NA,L040,L040,73,0.0004204%
NA,L05,L05,7,0.0000403%
NA,L050,L050,45,0.0002592%
NA,L059,L059,74,0.0004262%
NA,L080,L080,20,0.0001152%
NA,L088,L088,78,0.0004492%
NA,L089,L089,26,0.0001497%
NA,L120,L120,28,0.0001613%
NA,L130,L130,137,0.0007890%
NA,L20,L20,72,0.0004146%
NA,L200,L200,3370,0.0194079%
NA,L208,L208,70,0.0004031%
NA,L209,L209,214,0.0012324%
NA,L21,L21,9,0.0000518%
NA,L210,L210,36,0.0002073%
NA,L218,L218,66,0.0003801%
NA,L219,L219,40,0.0002304%
NA,L23,L23,15,0.0000864%
NA,L230,L230,69,0.0003974%
NA,L231,L231,33,0.0001900%
NA,L232,L232,27,0.0001555%
NA,L233,L233,37,0.0002131%
NA,L235,L235,73,0.0004204%
NA,L238,L238,37,0.0002131%
NA,L239,L239,76,0.0004377%
NA,L240,L240,52,0.0002995%
NA,L249,L249,22,0.0001267%
NA,L259,L259,46,0.0002649%
NA,L270,L270,23,0.0001325%
NA,L271,L271,7,0.0000403%
NA,L272,L272,273,0.0015722%
NA,L280,L280,86,0.0004953%
NA,L281,L281,405,0.0023324%
NA,L282,L282,123,0.0007084%
NA,L290,L290,25,0.0001440%
NA,L292,L292,41,0.0002361%
NA,L298,L298,44,0.0002534%
NA,L299,L299,246,0.0014167%
NA,L30,L30,7,0.0000403%
NA,L300,L300,458,0.0026376%
NA,L301,L301,7,0.0000403%
NA,L303,L303,848,0.0048837%
NA,L304,L304,12,0.0000691%
NA,L308,L308,129,0.0007429%
NA,L309,L309,1222,0.0070375%
NA,L40,L40,132,0.0007602%
NA,L400,L400,5067,0.0291810%
NA,L403,L403,162,0.0009330%
NA,L404,L404,167,0.0009618%
NA,L405,L400,96,0.0005529%
NA,L405,L405,480,0.0027643%
NA,L405M073,NA,11,0.0000633%
NA,L408,L408,222,0.0012785%
NA,L409,L409,31,0.0001785%
NA,L411,L411,74,0.0004262%
NA,L42,L42,8,0.0000461%
NA,L43,L43,18,0.0001037%
NA,L430,L430,135,0.0007775%
NA,L438,L438,430,0.0024764%
NA,L439,L439,71,0.0004089%
NA,L500,L500,148,0.0008523%
NA,L501,L501,25,0.0001440%
NA,L502,L502,23,0.0001325%
NA,L503,L503,160,0.0009214%
NA,L505,L505,20,0.0001152%
NA,L508,L508,171,0.0009848%
NA,L509,L509,233,0.0013419%
NA,L511,L511,10,0.0000576%
NA,L518,L518,12,0.0000691%
NA,L519,L519,21,0.0001209%
NA,L52,L52,22,0.0001267%
NA,L529,NA,27,0.0001555%
NA,L539,L539,13,0.0000749%
NA,L548,A692,26,0.0001497%
NA,L564,L564,35,0.0002016%
NA,L57,L57,14,0.0000806%
NA,L570,L570,246,0.0014167%
NA,L600,L600,73,0.0004204%
NA,L602,L602,11,0.0000633%
NA,L630,L630,10,0.0000576%
NA,L638,L638,68,0.0003916%
NA,L639,L639,209,0.0012036%
NA,L648,L648,14,0.0000806%
NA,L649,L649,15,0.0000864%
NA,L680,L680,55,0.0003167%
NA,L70,L70,9,0.0000518%
NA,L700,L700,401,0.0023094%
NA,L701,L701,14,0.0000806%
NA,L710,L710,35,0.0002016%
NA,L718,L718,130,0.0007487%
NA,L719,L719,52,0.0002995%
NA,L720,L720,18,0.0001037%
NA,L721,L721,133,0.0007660%
NA,L732,L732,79,0.0004550%
NA,L738,L738,22,0.0001267%
NA,L80,L80,138,0.0007947%
NA,L814,L814,14,0.0000806%
NA,L817,L817,10,0.0000576%
NA,L82,L82,127,0.0007314%
NA,L84,L84,71,0.0004089%
NA,L859,L859,65,0.0003743%
NA,L89,L89,21,0.0001209%
NA,L899,NA,9,0.0000518%
NA,L900,L900,95,0.0005471%
NA,L905,L905,53,0.0003052%
NA,L910,L910,264,0.0015204%
NA,L920,L920,15,0.0000864%
NA,L921,L921,42,0.0002419%
NA,L930,L930,101,0.0005817%
NA,L940,L940,35,0.0002016%
NA,L959,L959,35,0.0002016%
NA,L97,E104,44,0.0002534%
NA,L97,E114,45,0.0002592%
NA,L97,L97,111,0.0006393%
NA,L980,L980,11,0.0000633%
NA,L984,L984,84,0.0004838%
NA,L986,L986,23,0.0001325%
NA,L988,NA,13,0.0000749%
NA,L989,L989,10,0.0000576%
NA,M000,M000,11,0.0000633%
NA,M009,M009,51,0.0002937%
NA,M021,M021,64,0.0003686%
NA,M023,M023,59,0.0003398%
NA,M028,M028,19,0.0001094%
NA,M029,M029,204,0.0011748%
NA,M05,M05,38,0.0002188%
NA,M051,NA,17,0.0000979%
NA,M058,M058,4464,0.0257083%
NA,M059,M059,534,0.0030753%
NA,M06,M06,14,0.0000806%
NA,M060,M060,953,0.0054884%
NA,M064,M064,60,0.0003455%
NA,M068,M068,27,0.0001555%
NA,M069,M069,249,0.0014340%
NA,M070,L400,28,0.0001613%
NA,M070,M070,88,0.0005068%
NA,M070L405,NA,22,0.0001267%
NA,M072L405,NA,7,0.0000403%
NA,M073,K519,25,0.0001440%
NA,M073,L400,29,0.0001670%
NA,M073,M073,137,0.0007890%
NA,M073,M405,9,0.0000518%
NA,M073L405,NA,640,0.0036858%
NA,M074,L405,20,0.0001152%
NA,M075,K509,61,0.0003513%
NA,M075K519,NA,31,0.0001785%
NA,M080,M080,202,0.0011633%
NA,M081,M081,40,0.0002304%
NA,M082,M082,27,0.0001555%
NA,M083,M083,352,0.0020272%
NA,M084,M084,359,0.0020675%
NA,M088,M088,22,0.0001267%
NA,M089,M089,31,0.0001785%
NA,M100,M100,36,0.0002073%
NA,M109,M109,65,0.0003743%
NA,M123,M123,29,0.0001670%
NA,M130,M130,234,0.0013476%
NA,M131,M131,135,0.0007775%
NA,M138,M138,41,0.0002361%
NA,M139,M139,587,0.0033805%
NA,M146,E109,29,0.0001670%
NA,M146,E114,33,0.0001900%
NA,M146,E117,17,0.0000979%
NA,M146,E119,14,0.0000806%
NA,M146A521,NA,29,0.0001670%
NA,M146E116,NA,16,0.0000921%
NA,M148,L529,44,0.0002534%
NA,M150,M150,101,0.0005817%
NA,M151,M151,12,0.0000691%
NA,M154,M154,30,0.0001728%
NA,M159,M159,27,0.0001555%
NA,M16,M16,7,0.0000403%
NA,M160,M160,290,0.0016701%
NA,M161,M161,563,0.0032423%
NA,M162,M162,20,0.0001152%
NA,M163,M163,23,0.0001325%
NA,M165,M165,16,0.0000921%
NA,M167,M167,36,0.0002073%
NA,M169,M169,8,0.0000461%
NA,M17,M17,15,0.0000864%
NA,M170,M170,451,0.0025973%
NA,M171,M171,1048,0.0060355%
NA,M172,M172,17,0.0000979%
NA,M173,M173,20,0.0001152%
NA,M174,M174,8,0.0000461%
NA,M175,M175,26,0.0001497%
NA,M179,M179,26,0.0001497%
NA,M180,M180,28,0.0001613%
NA,M181,M181,35,0.0002016%
NA,M189,M189,8,0.0000461%
NA,M19,M19,12,0.0000691%
NA,M190,M190,220,0.0012670%
NA,M191,M191,120,0.0006911%
NA,M192,M192,43,0.0002476%
NA,M198,M198,34,0.0001958%
NA,M199,M199,85,0.0004895%
NA,M2000,M2000,14,0.0000806%
NA,M201,M201,591,0.0034036%
NA,M202,M202,142,0.0008178%
NA,M204,M204,121,0.0006968%
NA,M205,M205,16,0.0000921%
NA,M211,M211,11,0.0000633%
NA,M214,M214,67,0.0003859%
NA,M216,M216,6,0.0000346%
NA,M217,M217,101,0.0005817%
NA,M220,M220,95,0.0005471%
NA,M221,M221,41,0.0002361%
NA,M222,M222,13,0.0000749%
NA,M223,M223,13,0.0000749%
NA,M224,M224,226,0.0013015%
NA,M232,M232,644,0.0037088%
NA,M233,M233,45,0.0002592%
NA,M234,M234,32,0.0001843%
NA,M235,M235,37,0.0002131%
NA,M238,M238,39,0.0002246%
NA,M239,M239,87,0.0005010%
NA,M240,M240,11,0.0000633%
NA,M242,M242,63,0.0003628%
NA,M244,M244,80,0.0004607%
NA,M249,M249,18,0.0001037%
NA,M250,M250,20,0.0001152%
NA,M251,M251,16,0.0000921%
NA,M252,M252,62,0.0003571%
NA,M254,M254,28,0.0001613%
NA,M255,M255,1523,0.0087710%
NA,M259,M259,65,0.0003743%
NA,M313,M313,132,0.0007602%
NA,M315,M315,20,0.0001152%
NA,M319,M319,35,0.0002016%
NA,M32,M32,56,0.0003225%
NA,M320,M320,54,0.0003110%
NA,M321,M321,62,0.0003571%
NA,M328,M328,85,0.0004895%
NA,M329,M329,304,0.0017507%
NA,M331,M331,14,0.0000806%
NA,M332,M332,44,0.0002534%
NA,M341,M341,34,0.0001958%
NA,M349,M349,40,0.0002304%
NA,M35,M35,25,0.0001440%
NA,M350,M350,426,0.0024533%
NA,M351,M351,166,0.0009560%
NA,M352,M352,30,0.0001728%
NA,M353,M353,187,0.0010769%
NA,M357,M357,29,0.0001670%
NA,M358,M358,14,0.0000806%
NA,M359,M359,209,0.0012036%
NA,M411,M411,152,0.0008754%
NA,M412,M412,23,0.0001325%
NA,M419,M419,35,0.0002016%
NA,M420,M420,19,0.0001094%
NA,M430,M430,112,0.0006450%
NA,M431,M431,170,0.0009790%
NA,M436,M436,41,0.0002361%
NA,M45,M45,929,0.0053501%
NA,M461,M461,67,0.0003859%
NA,M469,M469,65,0.0003743%
NA,M47,M47,15,0.0000864%
NA,M470,NA,46,0.0002649%
NA,M471,M471,28,0.0001613%
NA,M472,M472,256,0.0014743%
NA,M478,M478,147,0.0008466%
NA,M478,NA,315,0.0018141%
NA,M4780,M4780,119,0.0006853%
NA,M4782,M4782,81,0.0004665%
NA,M479,M479,111,0.0006393%
NA,M480,M480,567,0.0032654%
NA,M481,M481,16,0.0000921%
NA,M489,M489,9,0.0000518%
NA,M500,NA,146,0.0008408%
NA,M501,M501,268,0.0015434%
NA,M503,M503,71,0.0004089%
NA,M508,M508,15,0.0000864%
NA,M509,M509,30,0.0001728%
NA,M51,M51,9,0.0000518%
NA,M510,NA,100,0.0005759%
NA,M511,M511,3327,0.0191603%
NA,M511G551,NA,16,0.0000921%
NA,M512,M512,22,0.0001267%
NA,M513,M513,525,0.0030235%
NA,M518,M518,42,0.0002419%
NA,M519,M519,76,0.0004377%
NA,M53,M53,9,0.0000518%
NA,M530,M530,132,0.0007602%
NA,M531,M531,445,0.0025628%
NA,M532,M532,17,0.0000979%
NA,M533,M533,64,0.0003686%
NA,M538,M538,7,0.0000403%
NA,M539,M539,43,0.0002476%
NA,M54,M54,56,0.0003225%
NA,M540,M540,31,0.0001785%
NA,M541,M541,180,0.0010366%
NA,M542,M542,278,0.0016010%
NA,M543,M543,515,0.0029659%
NA,M544,M544,547,0.0031502%
NA,M545,M545,976,0.0056208%
NA,M546,M546,303,0.0017450%
NA,M548,M548,72,0.0004146%
NA,M549,M549,512,0.0029486%
NA,M609,M609,23,0.0001325%
NA,M626,M626,23,0.0001325%
NA,M629,M629,12,0.0000691%
NA,M653,M653,59,0.0003398%
NA,M654,M654,59,0.0003398%
NA,M658,M658,48,0.0002764%
NA,M659,M659,55,0.0003167%
NA,M660,M660,13,0.0000749%
NA,M662,M662,14,0.0000806%
NA,M673,M673,24,0.0001382%
NA,M674,M674,261,0.0015031%
NA,M678,M678,19,0.0001094%
NA,M700,M700,13,0.0000749%
NA,M701,M701,6,0.0000346%
NA,M702,M702,45,0.0002592%
NA,M704,M704,65,0.0003743%
NA,M705,M705,11,0.0000633%
NA,M706,M706,96,0.0005529%
NA,M707,M707,13,0.0000749%
NA,M708,M708,28,0.0001613%
NA,M709,M709,11,0.0000633%
NA,M710,M710,14,0.0000806%
NA,M711,M711,30,0.0001728%
NA,M712,M712,54,0.0003110%
NA,M713,M713,12,0.0000691%
NA,M719,M719,11,0.0000633%
NA,M720,M720,171,0.0009848%
NA,M722,M722,146,0.0008408%
NA,M75,M75,7,0.0000403%
NA,M750,M750,274,0.0015780%
NA,M751,M751,1204,0.0069339%
NA,M752,M752,50,0.0002880%
NA,M753,M753,52,0.0002995%
NA,M754,M754,437,0.0025167%
NA,M755,M755,11,0.0000633%
NA,M758,M758,29,0.0001670%
NA,M759,M759,24,0.0001382%
NA,M760,M760,9,0.0000518%
NA,M763,M763,8,0.0000461%
NA,M765,M765,22,0.0001267%
NA,M766,M766,117,0.0006738%
NA,M768,M768,48,0.0002764%
NA,M769,M769,15,0.0000864%
NA,M770,M770,42,0.0002419%
NA,M771,M771,244,0.0014052%
NA,M773,M773,20,0.0001152%
NA,M774,M774,67,0.0003859%
NA,M775,M775,30,0.0001728%
NA,M779,M779,70,0.0004031%
NA,M79,M79,15,0.0000864%
NA,M790,M790,427,0.0024591%
NA,M791,M791,128,0.0007372%
NA,M792,M792,80,0.0004607%
NA,M793,M793,21,0.0001209%
NA,M795,M795,48,0.0002764%
NA,M796,M796,657,0.0037837%
NA,M798,M798,30,0.0001728%
NA,M799,M799,27,0.0001555%
NA,M805,M805,21,0.0001209%
NA,M809,M809,17,0.0000979%
NA,M810,M810,75,0.0004319%
NA,M815,M815,28,0.0001613%
NA,M819,M819,28,0.0001613%
NA,M840,M840,17,0.0000979%
NA,M841,M841,72,0.0004146%
NA,M854,M854,22,0.0001267%
NA,M859,M859,12,0.0000691%
NA,M860,M860,14,0.0000806%
NA,M861,M861,15,0.0000864%
NA,M866,M866,27,0.0001555%
NA,M869,M869,20,0.0001152%
NA,M870,M870,11,0.0000633%
NA,M890,M890,107,0.0006162%
NA,M907,C6488,13,0.0000749%
NA,M911,M911,32,0.0001843%
NA,M925,M925,23,0.0001325%
NA,M932,M932,58,0.0003340%
NA,M939,M939,12,0.0000691%
NA,M940,M940,21,0.0001209%
NA,M942,M942,19,0.0001094%
NA,M950,M950,86,0.0004953%
NA,M961,M961,13,0.0000749%
NA,N030,N030,132,0.0007602%
NA,N031,N031,299,0.0017219%
NA,N032,N032,38,0.0002188%
NA,N033,N033,295,0.0016989%
NA,N035,N035,594,0.0034209%
NA,N038,N038,102,0.0005874%
NA,N039,N039,173,0.0009963%
NA,N040,N040,35,0.0002016%
NA,N041,N041,37,0.0002131%
NA,N042,N042,33,0.0001900%
NA,N049,N049,26,0.0001497%
NA,N082,D898,35,0.0002016%
NA,N082,E102,20,0.0001152%
NA,N082,N082,37,0.0002131%
NA,N082D8980,NA,48,0.0002764%
NA,N083,E102,791,0.0045554%
NA,N083,E112,126,0.0007256%
NA,N083,N083,156,0.0008984%
NA,N0830,E102,342,0.0019696%
NA,N0830,E112,104,0.0005989%
NA,N0831,E102,58,0.0003340%
NA,N0831,E112,32,0.0001843%
NA,N0832,E102,605,0.0034842%
NA,N0832,E112,184,0.0010597%
NA,N0839,E107,36,0.0002073%
NA,N0839,E117,20,0.0001152%
NA,N0839,E119,18,0.0001037%
NA,N0839E102,NA,228,0.0013131%
NA,N0839E112,NA,223,0.0012843%
NA,N083E112,NA,29,0.0001670%
NA,N10,N10,334,0.0019235%
NA,N118,N118,18,0.0001037%
NA,N119,N119,196,0.0011288%
NA,N12,N12,47,0.0002707%
NA,N130,N130,60,0.0003455%
NA,N131,N131,16,0.0000921%
NA,N133,N133,55,0.0003167%
NA,N137,N137,34,0.0001958%
NA,N162D868,NA,19,0.0001094%
NA,N18,N18,33,0.0001900%
NA,N180,N180,17,0.0000979%
NA,N185,NA,11,0.0000633%
NA,N188,N188,64,0.0003686%
NA,N189,N189,228,0.0013131%
NA,N19,N19,113,0.0006508%
NA,N20,N20,19,0.0001094%
NA,N200,N200,119,0.0006853%
NA,N201,N201,471,0.0027125%
NA,N209,N209,47,0.0002707%
NA,N210,N210,12,0.0000691%
NA,N211,N211,7,0.0000403%
NA,N281,N281,36,0.0002073%
NA,N289,N289,66,0.0003801%
NA,N30,N30,19,0.0001094%
NA,N300,N300,131,0.0007544%
NA,N301,N301,207,0.0011921%
NA,N302,N302,16,0.0000921%
NA,N309,N309,35,0.0002016%
NA,N31,N31,11,0.0000633%
NA,N310,N310,23,0.0001325%
NA,N311,N311,18,0.0001037%
NA,N312,N312,57,0.0003283%
NA,N319,N319,29,0.0001670%
NA,N320,N320,27,0.0001555%
NA,N3282,N3282,85,0.0004895%
NA,N3283,N3283,10,0.0000576%
NA,N341,N341,10,0.0000576%
NA,N343,N343,49,0.0002822%
NA,N350,N350,14,0.0000806%
NA,N359,N359,65,0.0003743%
NA,N362,N362,11,0.0000633%
NA,N39,N39,20,0.0001152%
NA,N390,N390,350,0.0020157%
NA,N391,N391,14,0.0000806%
NA,N393,N393,709,0.0040831%
NA,N394,N394,301,0.0017335%
NA,N398,N398,35,0.0002016%
NA,N399,N399,22,0.0001267%
NA,N40,N40,1444,0.0083160%
NA,N410,N410,29,0.0001670%
NA,N411,N411,145,0.0008351%
NA,N419,N419,22,0.0001267%
NA,N429,N429,37,0.0002131%
NA,N43,N43,8,0.0000461%
NA,N430,N430,46,0.0002649%
NA,N433,N433,52,0.0002995%
NA,N434,N434,46,0.0002649%
NA,N44,N44,21,0.0001209%
NA,N459,N459,102,0.0005874%
NA,N46,N46,68,0.0003916%
NA,N47,N47,159,0.0009157%
NA,N481,N481,44,0.0002534%
NA,N484,N484,124,0.0007141%
NA,N486,N486,10,0.0000576%
NA,N488,N488,39,0.0002246%
NA,N512B374,NA,19,0.0001094%
NA,N518A600,NA,20,0.0001152%
NA,N600,N600,41,0.0002361%
NA,N601,N601,94,0.0005413%
NA,N602,N602,41,0.0002361%
NA,N61,N61,73,0.0004204%
NA,N62,N62,315,0.0018141%
NA,N63,N63,307,0.0017680%
NA,N643,N643,21,0.0001209%
NA,N644,N644,15,0.0000864%
NA,N645,N645,24,0.0001382%
NA,N648,N648,11,0.0000633%
NA,N649,N649,78,0.0004492%
NA,N700,N700,69,0.0003974%
NA,N701,N701,50,0.0002880%
NA,N709,N709,13,0.0000749%
NA,N710,N710,175,0.0010078%
NA,N72,N72,41,0.0002361%
NA,N733,N733,6,0.0000346%
NA,N736,N736,16,0.0000921%
NA,N739,N739,94,0.0005413%
NA,N750,N750,35,0.0002016%
NA,N751,N751,17,0.0000979%
NA,N758,N758,60,0.0003455%
NA,N760,N760,42,0.0002419%
NA,N761,N761,24,0.0001382%
NA,N762,N762,10,0.0000576%
NA,N763,N763,44,0.0002534%
NA,N764,N764,13,0.0000749%
NA,N768,N768,38,0.0002188%
NA,N770A600,NA,12,0.0000691%
NA,N771,N771,9,0.0000518%
NA,N771A600,NA,43,0.0002476%
NA,N771B373,NA,419,0.0024130%
NA,N800,N800,58,0.0003340%
NA,N801,N801,200,0.0011518%
NA,N803,N803,159,0.0009157%
NA,N804,N804,81,0.0004665%
NA,N808,N808,24,0.0001382%
NA,N809,N809,87,0.0005010%
NA,N810,N810,6,0.0000346%
NA,N811,N811,164,0.0009445%
NA,N812,N812,183,0.0010539%
NA,N813,N813,12,0.0000691%
NA,N814,N814,12,0.0000691%
NA,N815,N815,41,0.0002361%
NA,N816,N816,157,0.0009042%
NA,N83,N83,9,0.0000518%
NA,N830,N830,112,0.0006450%
NA,N831,N831,90,0.0005183%
NA,N832,N832,907,0.0052234%
NA,N835,N835,10,0.0000576%
NA,N838,N838,11,0.0000633%
NA,N840,N840,285,0.0016413%
NA,N841,N841,128,0.0007372%
NA,N850,N850,134,0.0007717%
NA,N851,N851,56,0.0003225%
NA,N858,N858,7,0.0000403%
NA,N859,N859,18,0.0001037%
NA,N86,N86,16,0.0000921%
NA,N870,N870,384,0.0022115%
NA,N871,N871,282,0.0016240%
NA,N872,N872,258,0.0014858%
NA,N879,N879,12,0.0000691%
NA,N890,N890,29,0.0001670%
NA,N892,N892,9,0.0000518%
NA,N896,N896,14,0.0000806%
NA,N898,N898,13,0.0000749%
NA,N899,N899,6,0.0000346%
NA,N900,N900,21,0.0001209%
NA,N901,N901,12,0.0000691%
NA,N902,N902,16,0.0000921%
NA,N904,N904,18,0.0001037%
NA,N906,N906,8,0.0000461%
NA,N907,N907,9,0.0000518%
NA,N908,N908,19,0.0001094%
NA,N909,N909,6,0.0000346%
NA,N910,N910,36,0.0002073%
NA,N911,N911,171,0.0009848%
NA,N913,N913,10,0.0000576%
NA,N914,N914,43,0.0002476%
NA,N915,N915,25,0.0001440%
NA,N92,N92,11,0.0000633%
NA,N920,D250,8,0.0000461%
NA,N920,N920,568,0.0032711%
NA,N921,D250,9,0.0000518%
NA,N921,N921,362,0.0020848%
NA,N922,N922,10,0.0000576%
NA,N923,N923,21,0.0001209%
NA,N924,N924,319,0.0018371%
NA,N925,N925,20,0.0001152%
NA,N926,N926,523,0.0030120%
NA,N930,N930,9,0.0000518%
NA,N938,N938,63,0.0003628%
NA,N939,N939,21,0.0001209%
NA,N940,N940,23,0.0001325%
NA,N941,N941,21,0.0001209%
NA,N943,N943,19,0.0001094%
NA,N944,N944,29,0.0001670%
NA,N945,N945,61,0.0003513%
NA,N946,N946,37,0.0002131%
NA,N949,N949,12,0.0000691%
NA,N95,N95,8,0.0000461%
NA,N950,N950,561,0.0032308%
