"","CODE1","n_codes","n_patients"
"369","2918A",206,162
"370","8832A",205,169
"371","3793C",204,174
"372","2962E",203,96
"373","5818X",203,10
"374","6535B",203,196
"375","9241A",203,189
"376","3092D",202,156
"377","6660B",201,192
"378","7809X",201,180
"379","5530A",199,197
"380","8022A",199,144
"381","4829X",198,182
"382","8470A",197,169
"383","8730A",197,185
"384","5350A",194,179
"385","4618A",193,151
"386","5120A",193,123
"387","8310B",193,150
"388","3041A",192,117
"389","7531A",192,43
"390","7860C",190,166
"391","8120A",190,141
"392","9200A",190,186
"393","4540A",189,148
"394","7863A",189,142
"395","8232A",189,154
"396","2390A",188,142
"397","5552A",188,62
"398","8500C",188,170
"399","1850A",187,80
"400","5660A",186,152
"401","8220A",186,123
"402","9221A",185,178
"403","7288A",184,150
"404","5609X",183,144
"405","7267A",183,151
"406","3000C",182,112
"407","3853A",182,143
"408","6424B",182,175
"409","8200A",182,111
"410","4940A",181,86
"411","5532A",181,163
"412","5828A",181,57
"413","6150A",181,168
"414","7080A",181,155
"415","2809X",180,140
"416","2961B",180,94
"417","2505A",179,94
"418","3542A",179,158
"419","2910A",178,126
"420","2967A",178,105
"421","6489X",177,154
"422","2449X",176,114
"423","3071A",176,67
"424","5641A",176,149
"425","2280A",175,95
"426","3430A",175,34
"427","4611A",175,144
"428","9070A",175,67
"429","7651B",174,131
"430","6425A",173,149
"431","7261A",173,131
"432","7199F",172,160
"433","2953A",170,90
"434","7148X",170,119
"435","7373A",170,104
"436","7525A",170,146
"437","6182A",169,160
"438","V500A",169,158
"439","0388X",168,135
"440","4784A",168,144
"441","0499X",167,138
"442","2962C",167,87
"443","3620B",167,75
"444","5645A",167,152
"445","7249X",167,152
"446","2410A",165,158
"447","V200A",165,152
"448","0750X",164,158
"449","0799X",163,156
"450","3861A",163,153
"451","2956E",162,57
"452","4278X",162,135
"453","4565A",162,158
"454","3663A",161,124
"455","7543A",161,74
"456","3009X",160,121
"457","3891A",160,117
"458","4538X",160,143
"459","5770F",160,74
"460","5990C",160,130
"461","6268X",160,147
