"","CODE1","n_codes","n_patients"
"2395","6392A",11,10
"2396","6426B",11,9
"2397","6467X",11,6
"2398","6801A",11,9
"2399","6810B",11,9
"2400","6822A",11,9
"2401","6918A",11,9
"2402","6951D",11,10
"2403","6953A",11,8
"2404","7018X",11,9
"2405","7019X",11,9
"2406","7183X",11,10
"2407","7199G",11,10
"2408","7330B",11,9
"2409","7334B",11,10
"2410","7364A",11,7
"2411","7395A",11,8
"2412","7790A",11,6
"2413","7844A",11,9
"2414","7844X",11,9
"2415","8130X",11,9
"2416","8131B",11,9
"2417","8135B",11,10
"2418","8451X",11,11
"2419","8511X",11,6
"2420","8630A",11,11
"2421","8702A",11,10
"2422","8801A",11,11
"2423","8901A",11,9
"2424","8940A",11,11
"2425","8941A",11,9
"2426","9062A",11,9
"2427","9642B",11,9
"2428","9679X",11,9
"2429","9809X",11,10
"2430","9810A",11,11
"2431","9819X",11,11
"2432","0527A",10,10
"2433","1309X",10,6
"2434","1540A",10,7
"2435","1541X",10,9
"2436","1725C",10,9
"2437","1922A",10,8
"2438","2101A",10,8
"2439","2150A",10,10
"2440","2166X",10,10
"2441","2223A",10,10
"2442","2241A",10,9
"2443","2430A",10,8
"2444","2521A",10,7
"2445","2580A",10,6
"2446","2731A",10,8
"2447","2888A",10,8
"2448","2938B",10,6
"2449","3092B",10,8
"2450","3123X",10,6
"2451","3199B",10,7
"2452","3209X",10,8
"2453","3312X",10,9
"2454","3452A",10,9
"2455","3502A",10,10
"2456","3545A",10,8
"2457","3651E",10,6
"2458","3699X",10,8
"2459","3705A",10,7
"2460","3725A",10,9
"2461","3745A",10,8
"2462","3780X",10,9
"2463","4308X",10,8
"2464","4321A",10,10
"2465","4401A",10,7
"2466","4448X",10,7
"2467","4568X",10,9
"2468","4571A",10,8
"2469","5130A",10,7
"2470","5260B",10,7
"2471","5273A",10,10
"2472","5278A",10,7
"2473","5518X",10,10
"2474","5799X",10,9
"2475","5902A",10,8
"2476","5990D",10,10
"2477","6079X",10,10
"2478","6254A",10,9
"2479","6259X",10,10
"2480","6426A",10,10
"2481","6500A",10,10
"2482","6528A",10,10
"2483","6538B",10,10
"2484","6540A",10,9
"2485","6567B",10,10
"2486","6648B",10,10
"2487","6758X",10,10
"2488","6807A",10,7
"2489","6809X",10,9
"2490","6824A",10,10
"2491","6831A",10,10
"2492","6925A",10,8
"2493","6961B",10,7
"2494","7018B",10,10
"2495","7029X",10,7
"2496","7150F",10,10
"2497","7183E",10,8
"2498","7229X",10,10
"2499","7266B",10,9
"2500","7266G",10,10
"2501","7276E",10,9
"2502","7282A",10,7
"2503","7505A",10,8
"2504","7546B",10,6
"2505","7550A",10,9
"2506","7562A",10,6
"2507","7764A",10,9
"2508","7801A",10,10
"2509","7860X",10,10
"2510","7864A",10,9
"2511","7880A",10,7
"2512","7902A",10,10
"2513","7934A",10,9
"2514","7964A",10,10
"2515","8001A",10,7
"2516","8056X",10,10
"2517","8060A",10,7
"2518","8160B",10,9
"2519","8160X",10,8
"2520","8161D",10,10
"2521","8522X",10,6
"2522","8524A",10,10
"2523","8603A",10,9
"2524","8641A",10,10
"2525","8701A",10,10
"2526","8800A",10,10
"2527","8802A",10,7
"2528","8841A",10,9
"2529","8932A",10,10
"2530","9245X",10,10
"2531","9261A",10,10
"2532","9273A",10,10
"2533","9452B",10,7
"2534","9551A",10,9
"2535","9563A",10,8
"2536","9941A",10,9
"2537","V450A",10,9
"2538","0544C",9,8
"2539","1120A",9,9
"2540","1122A",9,6
"2541","1623X",9,7
"2542","1727A",9,6
"2543","1727C",9,8
"2544","1733C",9,6
"2545","1891X",9,6
"2546","2253A",9,6
"2547","2387X",9,6
"2548","2662A",9,9
"2549","2729X",9,9
"2550","2810A",9,8
"2551","2898X",9,6
"2552","2921B",9,9
"2553","2956D",9,6
"2554","3123A",9,6
"2555","3360A",9,7
"2556","3457B",9,7
"2557","3623B",9,9
"2558","3653A",9,7
"2559","3660B",9,6
"2560","4470A",9,7
"2561","5111A",9,8
"2562","5310X",9,8
"2563","5312A",9,7
"2564","5314X",9,8
"2565","5323A",9,6
"2566","5838C",9,6
"2567","5845X",9,8
"2568","5930A",9,8
"2569","6061A",9,8
"2570","6116A",9,7
"2571","6169X",9,6
"2572","6183A",9,8
"2573","6240A",9,8
"2574","6263A",9,8
"2575","6427A",9,9
"2576","6525A",9,9
"2577","6551A",9,7
"2578","6594A",9,7
"2579","6634A",9,9
"2580","6714A",9,7
"2581","6714B",9,7
"2582","6718B",9,9
"2583","7020X",9,6
"2584","7110A",9,7
"2585","7152B",9,8
"2586","7164A",9,8
"2587","7180A",9,9
"2588","7199C",9,9
"2589","7280A",9,9
"2590","7399X",9,7
"2591","7545X",9,8
"2592","7547X",9,6
"2593","7573A",9,9
"2594","7617B",9,8
"2595","7820B",9,6
"2596","7890X",9,8
"2597","7895A",9,9
"2598","7932A",9,6
"2599","7943A",9,9
"2600","8133A",9,8
"2601","8380A",9,7
"2602","8420B",9,7
"2603","8420X",9,9
"2604","8471A",9,9
"2605","8511D",9,7
"2606","8632A",9,9
"2607","8748X",9,9
"2608","8760A",9,9
"2609","8780A",9,8
"2610","8784A",9,8
"2611","8842A",9,9
"2612","8930A",9,7
"2613","9075A",9,8
"2614","9210A",9,8
"2615","9212A",9,9
"2616","9282A",9,7
"2617","9402A",9,9
"2618","9441A",9,9
"2619","9778X",9,9
"2620","9779X",9,9
"2621","9945A",9,9
"2622","V020A",9,6
"2623","V600A",9,9
"2624","0532A",8,8
"2625","0879X",8,7
"2626","1110A",8,6
"2627","1310A",8,6
"2628","1534X",8,7
"2629","2131A",8,7
"2630","2159X",8,8
"2631","2163G",8,8
"2632","2374A",8,7
"2633","2501X",8,6
"2634","2820A",8,7
"2635","2858X",8,7
"2636","2952B",8,6
"2637","3549X",8,7
"2638","3552A",8,8
"2639","3608A",8,7
"2640","3664C",8,6
"2641","3721A",8,8
"2642","3830A",8,8
"2643","4111A",8,8
"2644","4298X",8,8
"2645","4329X",8,6
"2646","4330X",8,6
"2647","4439X",8,8
"2648","4782B",8,7
"2649","4782X",8,7
"2650","4823A",8,6
"2651","5286A",8,7
"2652","5289X",8,7
"2653","5533A",8,7
"2654","5602B",8,7
"2655","5651C",8,8
"2656","6069X",8,7
"2657","6073A",8,6
"2658","6117D",8,7
"2659","6143A",8,8
"2660","6330A",8,7
"2661","6422X",8,8
"2662","6423C",8,8
"2663","6524A",8,8
"2664","6530A",8,8
"2665","6541B",8,6
"2666","6550A",8,6
"2667","6590A",8,8
"2668","6650A",8,7
"2669","6656B",8,8
"2670","6811A",8,7
"2671","6825A",8,7
"2672","6918X",8,7
"2673","6924L",8,6
"2674","6951B",8,7
"2675","7040X",8,6
"2676","7111X",8,8
"2677","7113F",8,8
"2678","7183B",8,7
"2679","7193F",8,6
"2680","7300A",8,6
"2681","7329X",8,6
"2682","7410B",8,7
"2683","7466A",8,6
"2684","7501X",8,7
"2685","7548B",8,6
"2686","7565A",8,6
"2687","7634A",8,8
"2688","7731A",8,7
"2689","7793A",8,6
"2690","7873C",8,8
"2691","7919X",8,8
"2692","8320X",8,8
"2693","8418X",8,8
"2694","8488X",8,8
"2695","8721A",8,8
"2696","8842B",8,7
"2697","8912A",8,7
"2698","9249X",8,7
"2699","9350A",8,8
"2700","9443A",8,7
"2701","9450A",8,7
"2702","9640A",8,8
"2703","9751A",8,7
"2704","9828X",8,8
"2705","9912A",8,8
"2706","9948A",8,8
"2707","0058X",7,7
"2708","0769D",7,7
"2709","0779X",7,7
"2710","1302A",7,7
"2711","2150X",7,6
"2712","2169X",7,7
"2713","2218X",7,7
"2714","2382A",7,7
"2715","2458X",7,6
"2716","2592A",7,7
"2717","2872B",7,7
"2718","3006A",7,6
"2719","3042A",7,6
"2720","3052A",7,6
"2721","3074G",7,6
"2722","3074H",7,6
"2723","3488X",7,7
"2724","3602A",7,6
"2725","3727A",7,7
"2726","3728X",7,7
"2727","3738X",7,7
"2728","3753A",7,7
"2729","3790A",7,6
"2730","3850A",7,7
"2731","3858X",7,7
"2732","4100A",7,7
"2733","4109B",7,7
"2734","4110C",7,6
"2735","4148A",7,7
"2736","4266X",7,6
"2737","4349X",7,6
"2738","4489A",7,6
"2739","4566A",7,7
"2740","4800A",7,6
"2741","4822A",7,7
"2742","5201A",7,7
"2743","5207A",7,7
"2744","5227A",7,7
"2745","5271A",7,6
"2746","5325B",7,6
"2747","5379X",7,7
"2748","5501D",7,7
"2749","5512B",7,6
"2750","5539X",7,7
"2751","5602D",7,7
"2752","5620A",7,7
"2753","5672B",7,7
"2754","5848X",7,7
"2755","5970A",7,7
"2756","5980A",7,7
"2757","6068A",7,7
"2758","6117A",7,7
"2759","6149X",7,7
"2760","6151B",7,7
"2761","6239X",7,7
"2762","6244A",7,7
"2763","6267A",7,7
"2764","6273A",7,7
"2765","6360A",7,7
"2766","6388X",7,7
"2767","6421X",7,6
"2768","6485A",7,7
"2769","6543B",7,7
"2770","6550B",7,7
"2771","6559A",7,7
"2772","6560B",7,7
"2773","6819X",7,6
"2774","6839X",7,7
"2775","7094A",7,7
"2776","7115F",7,6
"2777","7189X",7,6
"2778","7198G",7,6
"2779","7199D",7,7
"2780","7266C",7,7
"2781","7393A",7,7
"2782","7442A",7,7
"2783","7541A",7,7
"2784","7573X",7,6
"2785","7578X",7,6
"2786","7615B",7,6
"2787","7649X",7,7
"2788","7743A",7,6
"2789","7799X",7,7
"2790","7816A",7,6
"2791","7833A",7,6
"2792","7855B",7,6
"2793","7869A",7,7
"2794","7884C",7,6
"2795","8031A",7,6
"2796","8050B",7,6
"2797","8341A",7,6
"2798","8380B",7,6
"2799","8524B",7,6
"2800","8661A",7,6
"2801","8794A",7,7
"2802","8931A",7,7
"2803","9410A",7,7
"2804","9421B",7,6
"2805","9451A",7,7
"2806","9553A",7,6
"2807","9659X",7,7
"2808","9725A",7,7
"2809","9729X",7,7
"2810","9752A",7,7
"2811","9773A",7,6
"2812","9899X",7,6
"2813","9979X",7,6
"2814","0084A",6,6
"2815","0340C",6,6
"2816","0341X",6,6
"2817","0384A",6,6
"2818","0520B",6,6
"2819","0531A",6,6
"2820","1102A",6,6
"2821","1735A",6,6
"2822","2108A",6,6
"2823","2155X",6,6
"2824","2164F",6,6
"2825","2165C",6,6
"2826","2165D",6,6
"2827","2450A",6,6
"2828","2519X",6,6
"2829","2598X",6,6
"2830","3742A",6,6
"2831","3801B",6,6
"2832","3804A",6,6
"2833","3840A",6,6
"2834","4339A",6,6
"2835","4461A",6,6
"2836","4578X",6,6
"2837","4610B",6,6
"2838","4870A",6,6
"2839","5245A",6,6
"2840","5309X",6,6
"2841","5322D",6,6
"2842","5409A",6,6
"2843","5522C",6,6
"2844","5969X",6,6
"2845","6028X",6,6
"2846","6029X",6,6
"2847","6141B",6,6
"2848","6151A",6,6
"2849","6203A",6,6
"2850","6225A",6,6
"2851","6230B",6,6
"2852","6234A",6,6
"2853","6249X",6,6
"2854","6284A",6,6
"2855","6523A",6,6
"2856","6530C",6,6
"2857","6538A",6,6
"2858","6583B",6,6
"2859","6639X",6,6
"2860","6694X",6,6
"2861","6699X",6,6
"2862","6703A",6,6
"2863","6828X",6,6
"2864","6920A",6,6
"2865","7085A",6,6
"2866","7115L",6,6
"2867","7180G",6,6
"2868","7184F",6,6
"2869","7198A",6,6
"2870","7199H",6,6
"2871","7228A",6,6
"2872","7239X",6,6
"2873","7383A",6,6
"2874","7450A",6,6
"2875","7640B",6,6
"2876","7702D",6,6
"2877","7708C",6,6
"2878","7822A",6,6
"2879","7938A",6,6
"2880","8012A",6,6
"2881","8054X",6,6
"2882","8252B",6,6
"2883","8252C",6,6
"2884","8610A",6,6
"2885","8651A",6,6
"2886","8727A",6,6
"2887","9164A",6,6
"2888","9219X",6,6
"2889","9310A",6,6
"2890","9349X",6,6
"2891","9370A",6,6
"2892","9403A",6,6
"2893","9404A",6,6
"2894","9697A",6,6
"2895","9726X",6,6
"2896","9984A",6,6
