concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
3809,28457,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3812,26711,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3817,440751,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3819,24970,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3822,257007,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3827,257008,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3828,437580,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3848,258785,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3852,260754,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3853,261324,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3858,440431,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3861,255848,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3863,256723,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3867,256451,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3870,257905,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3871,258780,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3879,45769441,Maps to,2015-01-31,2099-12-31,NA,USAGI,Condition
3880,257581,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3881,252658,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3882,45773005,Maps to,2015-01-31,2099-12-31,NA,USAGI,Condition
3883,317009,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3886,317009,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3888,256449,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3898,256450,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3915,4306082,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
