code,freq_finngen,freq_total
8931/3-C54.1,11,11
8441/3-C57.0,11,11
9680/3-C62.9,11,11
8000/3-C67.9,11,11
9450/3-C71.1,11,11
9391/3-C72.0,11,11
9650/3-C77.9,11,11
8144/3-C16.3,10,10
8244/3-C18.1,10,10
8148/2-C20.9,10,10
8000/3-C22.1,10,10
8010/3-C25.9,10,10
8480/3-C34.3,10,10
9690/3-C42.1,10,10
9731/3-C42.1,10,10
8070/3-C44.1,10,10
8721/3-C44.5,10,10
8743/3-C44.6,10,10
8832/3-C44.7,10,10
9140/3-C44.7,10,10
8500/2-C50.3,10,10
8070/2-C51.9,10,10
8010/3-C56.9,10,10
8440/3-C56.9,10,10
9060/3-C56.9,10,10
8010/3-C64.9,10,10
8130/2-C67.2,10,10
9510/3-C69.2,10,10
9421/1-C71.9,10,10
8370/3-C74.0,10,10
9650/3-C77.1,10,10
9680/3-C77.4,10,10
9690/3-C77.8,10,10
9702/3-C77.9,10,10
8430/3-C79,10,10
8070/3-C9,10,10
8140/3-C16.2,9,9
8936/3-C16.9,9,9
9591/3-C17.9,9,9
8240/3-C18.0,9,9
8243/3-C18.1,9,9
9680/3-C22.0,9,9
8140/3-C25.1,9,9
8000/3-C25.2,9,9
8000/1-C26.9,9,9
8720/3-C30.0,9,9
8070/3-C34.2,9,9
8010/3-C34.3,9,9
9220/3-C40.2,9,9
9220/3-C41.3,9,9
9591/3-C42.1,9,9
9670/3-C42.1,9,9
9860/3-C42.1,9,9
8742/2-C44.3,9,9
8720/2-C44.6,9,9
8850/3-C49.1,9,9
8830/3-C49.2,9,9
8890/3-C49.2,9,9
8510/3-C50.4,9,9
8246/3-C50.9,9,9
9020/3-C50.9,9,9
8070/3-C51,9,9
8140/3-C53.0,9,9
8070/3-C53.1,9,9
8310/3-C54.1,9,9
8070/3-C60.1,9,9
8120/3-C68.9,9,9
9537/0-C70.9,9,9
9382/3-C71.1,9,9
8290/3-C73.9,9,9
9659/3-C77.0,9,9
9695/3-C77.4,9,9
9695/3-C77.8,9,9
8240/3-C80.9,9,9
8010/3-C16.9,8,8
8246/3-C17.2,8,8
8210/3-C18.7,8,8
8140/3-C18.8,8,8
8140/2-C20.9,8,8
8140/3-C34.0,8,8
8240/3-C34.1,8,8
8246/3-C34.9,8,8
9680/3-C34.9,8,8
9699/3-C34.9,8,8
8721/3-C44.7,8,8
8720/3-C44.8,8,8
8071/3-C44.9,8,8
8742/3-C44.9,8,8
8480/3-C50.2,8,8
8523/3-C50.5,8,8
8501/2-C50.9,8,8
8070/3-C53.0,8,8
8461/3-C57.4,8,8
9450/3-C71.9,8,8
8000/3-C73.9,8,8
8345/3-C73.9,8,8
9691/3-C77.0,8,8
9591/3-C77.8,8,8
9650/3-C77.8,8,8
9698/3-C77.8,8,8
9699/3-C77.9,8,8
8070/3-C79,8,8
8550/3-C79,8,8
8249/3-C80.9,8,8
9591/3-C80.9,8,8
8480/1-C18.1,7,7
8480/3-C18.6,7,7
8000/3-C23.9,7,7
8151/3-C25.9,7,7
8070/2-C32.0,7,7
8246/3-C34.1,7,7
8041/3-C34.2,7,7
9051/3-C38.4,7,7
8720/2-C44.7,7,7
8092/3-C44.9,7,7
8890/3-C48.0,7,7
8850/3-C49.6,7,7
8522/3-C50.5,7,7
8980/3-C54.1,7,7
8000/3-C56.9,7,7
8140/3-C56.9,7,7
9080/3-C62.9,7,7
8130/2-C65.9,7,7
8120/3-C68.8,7,7
9421/1-C71.6,7,7
9382/3-C71.9,7,7
9505/1-C71.9,7,7
8000/0-C72.4,7,7
8010/3-C73.9,7,7
9591/3-C73.9,7,7
9652/3-C77.0,7,7
9663/3-C77.1,7,7
9680/3-C77.2,7,7
9652/3-C77.8,7,7
9670/3-C77.8,7,7
9705/3-C77.9,7,7
9591/3-C79,7,7
8041/3-C80.9,7,7
8070/3-C15.3,6,6
8480/3-C16.0,6,6
8145/3-C16.3,6,6
8936/1-C17.0,6,6
8140/3-C17.9,6,6
8936/3-C17.9,6,6
8249/3-C18.0,6,6
8000/3-C18.7,6,6
8070/3-C22,6,6
8249/3-C25.2,6,6
8246/3-C25.9,6,6
8250/3-C34.3,6,6
8140/3-C34.8,6,6
8020/3-C34.9,6,6
9731/3-C41.3,6,6
9891/3-C42.1,6,6
8720/2-C44.5,6,6
8832/3-C44.6,6,6
8247/3-C44.7,6,6
8832/3-C44.9,6,6
8810/3-C49.1,6,6
8480/3-C50.1,6,6
8500/2-C50.1,6,6
8524/3-C50.2,6,6
8522/3-C50.3,6,6
8401/3-C50.4,6,6
8530/3-C50.9,6,6
8543/3-C50.9,6,6
9120/3-C50.9,6,6
8070/3-C51.1,6,6
8140/2-C53.1,6,6
8980/3-C54.9,6,6
8462/1-C56.9,6,6
8120/3-C67.4,6,6
8120/3-C67.5,6,6
8120/3-C67.6,6,6
8140/3-C67.9,6,6
9591/3-C69.9,6,6
9470/3-C71.6,6,6
8140/3-C76.2,6,6
9690/3-C77.2,6,6
9695/3-C77.2,6,6
9659/3-C77.3,6,6
9680/3-C77.3,6,6
9690/3-C77.4,6,6
9651/3-C77.9,6,6
8500/3-C79,6,6
9699/3-C79,6,6
9670/3-C80.9,6,6
9673/3-C80.9,6,6
