concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,temp_mapping_type
21600844,42629073,Maps to,20200601,20991231,NA,OMOP
21601253,19060826,Maps to,20200601,20991231,NA,OMOP
21601127,1377023,Maps to,20200601,20991231,NA,OMOP
21605131,19052936,Maps to,20200601,20991231,NA,OMOP
1502051,1545958,Maps to,20200601,20991231,NA,OMOP
715852,905233,Maps to,20200601,20991231,NA,OMOP
21600737,19090226,Maps to,20200601,20991231,NA,OMOP
45893492,1332418,Maps to,20200601,20991231,NA,OMOP
21603106,19135812,Maps to,20141201,20991231,NA,OMOP
21604993,42899832,Maps to,20141201,20991231,NA,OMOP
21602737,975125,Maps to,20141201,20991231,NA,OMOP
21602828,19015123,Maps to,20141201,20991231,NA,OMOP
21602092,981691,Maps to,20141201,20991231,NA,OMOP
21601124,19048026,Maps to,20141201,20991231,NA,OMOP
21600377,1337107,Maps to,20141201,20991231,NA,OMOP
21603840,19020079,Maps to,20141201,20991231,NA,OMOP
21603417,1150886,Maps to,20141201,20991231,NA,OMOP
21602071,1790868,Maps to,20141201,20991231,NA,OMOP
21601429,1437379,Maps to,20141201,20991231,NA,OMOP
21600053,42899326,Maps to,20141201,20991231,NA,OMOP
21600014,1717240,Maps to,20141201,20991231,NA,OMOP
21602349,19003691,Maps to,20141201,20991231,NA,OMOP
21605102,751698,Maps to,20141201,20991231,NA,OMOP
21601010,1307515,Maps to,20141201,20991231,NA,OMOP
21601559,19010927,Maps to,20141201,20991231,NA,OMOP
21604518,19072088,Maps to,20141201,20991231,NA,OMOP
21603201,951511,Maps to,20141201,20991231,NA,OMOP
21605088,1114620,Maps to,20141201,20991231,NA,OMOP
21604700,19122204,Maps to,20141201,20991231,NA,OMOP
21601030,1315865,Maps to,20141201,20991231,NA,OMOP
21604533,19095002,Maps to,20141201,20991231,NA,OMOP
21604306,19018432,Maps to,20141201,20991231,NA,OMOP
21603495,994341,Maps to,20141201,20991231,NA,OMOP
21602893,19028288,Maps to,20141201,20991231,NA,OMOP
21601646,19070012,Maps to,20141201,20991231,NA,OMOP
21604381,1189697,Maps to,20141201,20991231,NA,OMOP
21605076,925636,Maps to,20141201,20991231,NA,OMOP
21603749,1344905,Maps to,20141201,20991231,NA,OMOP
21603761,1397141,Maps to,20141201,20991231,NA,OMOP
21603911,1119119,Maps to,20141201,20991231,NA,OMOP
43534812,43532299,Maps to,20141201,20991231,NA,OMOP
21604829,19007803,Maps to,20141201,20991231,NA,OMOP
21600015,19026609,Maps to,20141201,20991231,NA,OMOP
21602403,939784,Maps to,20141201,20991231,NA,OMOP
21600426,1523280,Maps to,20141201,20991231,NA,OMOP
21603750,1318011,Maps to,20141201,20991231,NA,OMOP
21600488,19030087,Maps to,20141201,20991231,NA,OMOP
21604669,749727,Maps to,20141201,20991231,NA,OMOP
21602085,1703687,Maps to,20141201,20991231,NA,OMOP
21602032,952538,Maps to,20141201,20991231,NA,OMOP
21600786,40166035,Maps to,20141201,20991231,NA,OMOP
21602610,19072083,Maps to,20141201,20991231,NA,OMOP
21602117,950882,Maps to,20141201,20991231,NA,OMOP
21602320,984232,Maps to,20141201,20991231,NA,OMOP
21602006,1159811,Maps to,20141201,20991231,NA,OMOP
21600502,19072087,Maps to,20141201,20991231,NA,OMOP
21605390,19003206,Maps to,20141201,20991231,NA,OMOP
21602270,989301,Maps to,20141201,20991231,NA,OMOP
21603383,19095266,Maps to,20141201,20991231,NA,OMOP
21602555,19050090,Maps to,20141201,20991231,NA,OMOP
21602051,929638,Maps to,20141201,20991231,NA,OMOP
43534795,43012518,Maps to,20141201,20991231,NA,OMOP
21600963,1325124,Maps to,20141201,20991231,NA,OMOP
21604737,19058055,Maps to,20141201,20991231,NA,OMOP
21605332,19007721,Maps to,20141201,20991231,NA,OMOP
21601826,1308842,Maps to,20141201,20991231,NA,OMOP
21603173,1769389,Maps to,20141201,20991231,NA,OMOP
21605535,19069078,Maps to,20141201,20991231,NA,OMOP
21601674,19072028,Maps to,20141201,20991231,NA,OMOP
21600866,19036781,Maps to,20141201,20991231,NA,OMOP
21601786,1341927,Maps to,20141201,20991231,NA,OMOP
21603583,1036252,Maps to,20141201,20991231,NA,OMOP
21603854,19009705,Maps to,20141201,20991231,NA,OMOP
21603889,19017581,Maps to,20141201,20991231,NA,OMOP
21601960,1755112,Maps to,20141201,20991231,NA,OMOP
21604881,19055842,Maps to,20141201,20991231,NA,OMOP
21601700,1346823,Maps to,20141201,20991231,NA,OMOP
21601396,19135793,Maps to,20141201,20991231,NA,OMOP
21604345,19033710,Maps to,20141201,20991231,NA,OMOP
21603411,19056541,Maps to,20141201,20991231,NA,OMOP
21600789,1000979,Maps to,20141201,20991231,NA,OMOP
21603773,1319193,Maps to,20141201,20991231,NA,OMOP
21603730,1311443,Maps to,20141201,20991231,NA,OMOP
21605233,1727468,Maps to,20141201,20991231,NA,OMOP
21604464,789578,Maps to,20141201,20991231,NA,OMOP
21603989,19110711,Maps to,20141201,20991231,NA,OMOP
21600948,19088328,Maps to,20141201,20991231,NA,OMOP
21604760,710650,Maps to,20141201,20991231,NA,OMOP
21602072,991003,Maps to,20141201,20991231,NA,OMOP
21603507,1123534,Maps to,20141201,20991231,NA,OMOP
21604613,766067,Maps to,20141201,20991231,NA,OMOP
21604478,1558471,Maps to,20141201,20991231,NA,OMOP
21602215,949459,Maps to,20141201,20991231,NA,OMOP
21603619,975125,Maps to,20141201,20991231,NA,OMOP
21600442,1401581,Maps to,20141201,20991231,NA,OMOP
21600682,735340,Maps to,20141201,20991231,NA,OMOP
21605046,1196514,Maps to,20141201,20991231,NA,OMOP
21604012,19003691,Maps to,20141201,20991231,NA,OMOP
21600575,948515,Maps to,20141201,20991231,NA,OMOP
21604051,1124300,Maps to,20141201,20991231,NA,OMOP
21601588,1309323,Maps to,20141201,20991231,NA,OMOP
21603922,40161669,Maps to,20141201,20991231,NA,OMOP
21600732,1550023,Maps to,20141201,20991231,NA,OMOP
21603420,19039762,Maps to,20141201,20991231,NA,OMOP
21603568,1746940,Maps to,20141201,20991231,NA,OMOP
21603230,916460,Maps to,20141201,20991231,NA,OMOP
21600942,19057354,Maps to,20141201,20991231,NA,OMOP
21602315,19123348,Maps to,20141201,20991231,NA,OMOP
21601423,1305058,Maps to,20141201,20991231,NA,OMOP
21601957,902950,Maps to,20141201,20991231,NA,OMOP
21605397,19003249,Maps to,20141201,20991231,NA,OMOP
43534741,45774613,Maps to,20141201,20991231,NA,OMOP
21605101,929504,Maps to,20141201,20991231,NA,OMOP
21604776,19097999,Maps to,20141201,20991231,NA,OMOP
21601788,1373225,Maps to,20141201,20991231,NA,OMOP
21604854,19018402,Maps to,20141201,20991231,NA,OMOP
21600826,19100417,Maps to,20141201,20991231,NA,OMOP
21605075,943852,Maps to,20141201,20991231,NA,OMOP
21603074,1717240,Maps to,20141201,20991231,NA,OMOP
21601608,975125,Maps to,20141201,20991231,NA,OMOP
21602626,44506794,Maps to,20141201,20991231,NA,OMOP
21605393,19069110,Maps to,20141201,20991231,NA,OMOP
21602105,19005129,Maps to,20141201,20991231,NA,OMOP
21600389,19055531,Maps to,20141201,20991231,NA,OMOP
21601601,19069103,Maps to,20141201,20991231,NA,OMOP
40253429,19069046,Maps to,20141201,20991231,NA,OMOP
21600785,19122137,Maps to,20141201,20991231,NA,OMOP
21604211,19135802,Maps to,20141201,20991231,NA,OMOP
21604714,739138,Maps to,20141201,20991231,NA,OMOP
21601417,19125635,Maps to,20141201,20991231,NA,OMOP
21603737,19078097,Maps to,20141201,20991231,NA,OMOP
21601175,19128375,Maps to,20141201,20991231,NA,OMOP
21603299,1114620,Maps to,20141201,20991231,NA,OMOP
21602643,916230,Maps to,20141201,20991231,NA,OMOP
21602658,992956,Maps to,20141201,20991231,NA,OMOP
21604797,757627,Maps to,20141201,20991231,NA,OMOP
21603626,19005129,Maps to,20141201,20991231,NA,OMOP
21604000,19019023,Maps to,20141201,20991231,NA,OMOP
21602909,1796458,Maps to,20141201,20991231,NA,OMOP
21603744,1389036,Maps to,20141201,20991231,NA,OMOP
21602686,19008009,Maps to,20141201,20991231,NA,OMOP
21605051,905233,Maps to,20141201,20991231,NA,OMOP
40254301,19054876,Maps to,20141201,20991231,NA,OMOP
21601961,914053,Maps to,20141201,20991231,NA,OMOP
21603085,1755112,Maps to,20141201,20991231,NA,OMOP
21605134,1139042,Maps to,20141201,20991231,NA,OMOP
21604712,797617,Maps to,20141201,20991231,NA,OMOP
21604127,711714,Maps to,20141201,20991231,NA,OMOP
21600974,1436169,Maps to,20141201,20991231,NA,OMOP
21600370,1351115,Maps to,20141201,20991231,NA,OMOP
21601582,19026526,Maps to,20141201,20991231,NA,OMOP
21601684,1307046,Maps to,20141201,20991231,NA,OMOP
21600025,19056871,Maps to,20141201,20991231,NA,OMOP
21601468,948787,Maps to,20141201,20991231,NA,OMOP
21603401,19015787,Maps to,20141201,20991231,NA,OMOP
21604742,19072021,Maps to,20141201,20991231,NA,OMOP
21603735,19057483,Maps to,20141201,20991231,NA,OMOP
21603251,1343916,Maps to,20141201,20991231,NA,OMOP
21603588,1703687,Maps to,20141201,20991231,NA,OMOP
21600052,992956,Maps to,20141201,20991231,NA,OMOP
21604811,937439,Maps to,20141201,20991231,NA,OMOP
21601181,977968,Maps to,20141201,20991231,NA,OMOP
21604941,1794280,Maps to,20141201,20991231,NA,OMOP
21600176,19091237,Maps to,20141201,20991231,NA,OMOP
