"","CODE1","n_codes","n_patients"
"478","9193",30,27
"479","1324",29,16
"480","1381",29,27
"481","3619",29,22
"482","3742",29,28
"483","4146",29,27
"484","4322",29,28
"485","5564",29,27
"486","8239",29,29
"487","9132",29,29
"488","9162",29,23
"489","1473",28,27
"490","3642",28,28
"491","4469",28,26
"492","4611",28,26
"493","5255",28,27
"494","5512",28,28
"495","5561",28,27
"496","6523",28,27
"497","8449",28,27
"498","8476",28,27
"499","8709",28,23
"500","9125",28,26
"501","9172",28,27
"502","9864",28,28
"503","4106",27,24
"504","6582",27,25
"505","7119",27,20
"506","7543",27,27
"507","8102",27,22
"508","8472",27,26
"509","8609",27,27
"510","9113",27,22
"511","9313",27,25
"512","9525",27,27
"513","2312",26,26
"514","3203",26,25
"515","3242",26,22
"516","4111",26,24
"517","5409",26,22
"518","6653",26,26
"519","8601",26,24
"520","9581",26,23
"521","3852",25,19
"522","5207",25,25
"523","5526",25,25
"524","9292",25,24
"525","9322",25,24
"526","1500",24,24
"527","2159",24,23
"528","2509",24,24
"529","3711",24,18
"530","3759",24,20
"531","4161",24,22
"532","4259",24,22
"533","4382",24,19
"534","4839",24,21
"535","6109",24,24
"536","7339",24,20
"537","9119",24,22
"538","9222",24,24
"539","9781",24,22
"540","2424",23,22
"541","3625",23,20
"542","3812",23,21
"543","4368",23,19
"544","5342",23,23
"545","5566",23,21
"546","6351",23,23
"547","7449",23,23
"548","8322",23,23
"549","9471",23,22
"550","9501",23,21
"551","3510",22,20
"552","4119",22,19
"553","4313",22,20
"554","4462",22,20
"555","5853",22,22
"556","5862",22,22
"557","7219",22,14
"558","7509",22,22
"559","8116",22,22
"560","8205",22,21
"561","9345",22,20
"562","9480",22,16
"563","9513",22,21
"564","9523",22,20
"565","1304",21,18
"566","1603",21,20
"567","2130",21,20
"568","3649",21,20
"569","3719",21,15
"570","4339",21,20
"571","4346",21,20
"572","4365",21,18
"573","4707",21,17
"574","5859",21,19
"575","7324",21,14
"576","8349",21,21
"577","9348",21,18
"578","9407",21,20
"579","9507",21,21
"580","9737",21,18
"581","9782",21,17
"582","2533",20,20
"583","4253",20,18
"584","4367",20,19
"585","5249",20,15
"586","5518",20,19
"587","6149",20,20
"588","8437",20,20
"589","9189",20,18
"590","9504",20,19
"591","1282",19,18
"592","1503",19,18
"593","4402",19,17
"594","6589",19,19
"595","7121",19,19
"596","7187",19,17
"597","7188",19,18
"598","7327",19,14
"599","7539",19,19
"600","7569",19,18
"601","8304",19,19
"602","9482",19,19
"603","2139",18,12
"604","3209",18,18
"605","4201",18,18
"606","4399",18,17
"607","4409",18,17
"608","5849",18,16
"609","5872",18,18
"610","6329",18,18
"611","6569",18,17
"612","6665",18,18
"613","7212",18,18
"614","7435",18,18
"615","7455",18,18
"616","7469",18,18
"617","9105",18,17
"618","9131",18,18
"619","9161",18,16
"620","9257",18,18
"621","9573",18,17
"622","9732",18,16
"623","1314",17,14
"624","2211",17,17
"625","3102",17,17
"626","3202",17,17
"627","3249",17,12
"628","4173",17,16
"629","4213",17,15
"630","4301",17,17
"631","4612",17,12
"632","5583",17,16
"633","6581",17,16
"634","7421",17,17
"635","7459",17,17
"636","8323",17,17
"637","8328",17,17
"638","8414",17,17
"639","9375",17,16
"640","9701",17,16
"641","9752",17,13
"642","1461",16,14
"643","2423",16,15
"644","3269",16,16
"645","3508",16,14
"646","3519",16,15
"647","5319",16,16
"648","6121",16,15
"649","6469",16,16
"650","6903",16,16
"651","7105",16,16
"652","7361",16,15
"653","7452",16,16
"654","8109",16,16
"655","8701",16,10
"656","9182",16,16
"657","9191",16,15
"658","9203",16,15
"659","9221",16,15
"660","9327",16,15
"661","9333",16,14
"662","9381",16,15
"663","9710",16,15
"664","9744",16,7
"665","9807",16,14
"666","1241",15,15
"667","1491",15,13
"668","3722",15,13
"669","4705",15,14
"670","5562",15,15
"671","6315",15,15
"672","6353",15,15
"673","6511",15,13
"674","6601",15,15
"675","7303",15,15
"676","8327",15,15
"677","9114",15,15
"678","9181",15,15
"679","9334",15,11
"680","9339",15,15
"681","9526",15,14
"682","9822",15,15
"683","9872",15,15
"684","1270",14,14
"685","2181",14,12
"686","2502",14,14
"687","3316",14,14
"688","3320",14,13
"689","3501",14,13
"690","3702",14,13
"691","3851",14,12
"692","4223",14,13
"693","4230",14,13
"694","5809",14,8
"695","6407",14,14
"696","7301",14,13
"697","7319",14,14
"698","9377",14,13
"699","9592",14,14
"700","9819",14,12
"701","9829",14,14
"702","9882",14,14
"703","1472",13,13
"704","3281",13,13
"705","3801",13,13
"706","4101",13,13
"707","4307",13,13
"708","4329",13,12
"709","4389",13,13
"710","4619",13,13
"711","4844",13,13
"712","5244",13,10
"713","5283",13,13
"714","5403",13,12
"715","5581",13,13
"716","5651",13,13
"717","5652",13,10
"718","6311",13,13
"719","6314",13,13
"720","6316",13,13
"721","6410",13,13
"722","6522",13,13
"723","7453",13,13
"724","7521",13,13
"725","9343",13,12
"726","9403",13,12
"727","9406",13,11
"728","2102",12,12
"729","2403",12,12
"730","3721",12,10
"731","4249",12,7
"732","4827",12,12
"733","4902",12,10
"734","5349",12,12
"735","5511",12,12
"736","5589",12,12
"737","5614",12,12
"738","6321",12,12
"739","6379",12,11
"740","6408",12,12
"741","6422",12,12
"742","6456",12,11
"743","6615",12,12
"744","7126",12,12
"745","7401",12,12
"746","7502",12,12
"747","7563",12,9
"748","8413",12,12
"749","8475",12,12
"750","8843",12,12
"751","8849",12,12
"752","9299",12,9
"753","9362",12,11
"754","9735",12,11
"755","3656",11,10
"756","3779",11,11
"757","4148",11,11
"758","4231",11,10
"759","4254",11,11
"760","4401",11,11
"761","4472",11,11
"762","5513",11,11
"763","5659",11,10
"764","6251",11,11
"765","6431",11,11
"766","6583",11,11
"767","6728",11,11
"768","7190",11,8
"769","7519",11,11
"770","7602",11,9
"771","8223",11,11
"772","8415",11,11
"773","9258",11,10
"774","9342",11,11
"775","9347",11,11
"776","1383",10,10
"777","1541",10,10
"778","2124",10,10
"779","2303",10,10
"780","3243",10,10
"781","3318",10,7
"782","3703",10,10
"783","3802",10,9
"784","3831",10,10
"785","4142",10,10
"786","4303",10,10
"787","4306",10,10
"788","4325",10,10
"789","4359",10,10
"790","4366",10,10
"791","4806",10,10
"792","4843",10,10
"793","5839",10,10
"794","5869",10,10
"795","6103",10,10
"796","6502",10,10
"797","6527",10,9
"798","6604",10,10
"799","7155",10,8
"800","7186",10,9
"801","7384",10,10
"802","7426",10,9
"803","7429",10,7
"804","7526",10,9
"805","8434",10,9
"806","8835",10,9
"807","9116",10,7
"808","9350",10,10
"809","9376",10,9
"810","9512",10,8
"811","9708",10,10
"812","0000",9,9
"813","1312",9,9
"814","1327",9,8
"815","1392",9,9
"816","1604",9,6
"817","2109",9,9
"818","2192",9,9
"819","3112",9,9
"820","3252",9,8
"821","3282",9,8
"822","3409",9,9
"823","3606",9,9
"824","3628",9,9
"825","4323",9,9
"826","4332",9,9
"827","4345",9,9
"828","4348",9,9
"829","5208",9,8
"830","5568",9,7
"831","5579",9,9
"832","5873",9,9
"833","6317",9,9
"834","6429",9,9
"835","6543",9,9
"836","6673",9,8
"837","6701",9,9
"838","6909",9,9
"839","7153",9,9
"840","7158",9,9
"841","7433",9,9
"842","7552",9,8
"843","8311",9,9
"844","8821",9,9
"845","9199",9,9
"846","9329",9,9
"847","9331",9,9
"848","9361",9,9
"849","9378",9,9
"850","9389",9,8
"851","9544",9,9
"852","9572",9,7
"853","9804",9,8
"854","9843",9,8
"855","9844",9,9
"856","120",8,8
"857","1230",8,8
"858","1303",8,7
"859","2125",8,8
"860","2311",8,8
"861","3621",8,7
"862","3813",8,8
"863","4109",8,8
"864","4159",8,8
"865","4162",8,8
"866","4822",8,8
"867","4849",8,8
"868","5584",8,7
"869","5603",8,8
"870","5803",8,7
"871","6463",8,7
"872","6565",8,8
"873","6661",8,8
"874","6752",8,8
"875","6803",8,8
"876","6804",8,8
"877","6902",8,8
"878","7123",8,8
"879","7387",8,8
"880","7399",8,8
"881","7432",8,8
"882","7522",8,8
"883","8214",8,7
"884","8303",8,8
"885","8515",8,8
"886","8804",8,8
"887","9325",8,8
"888","9784",8,8
"889","1281",7,6
"890","1493",7,6
"891","2127",7,7
"892","2221",7,7
"893","3289",7,7
"894","3315",7,6
"895","3502",7,6
"896","3624",7,7
"897","3770",7,7
"898","4807",7,6
"899","5504",7,6
"900","5825",7,7
"901","5842",7,7
"902","5871",7,7
"903","6218",7,7
"904","6333",7,7
"905","6437",7,7
"906","6501",7,6
"907","6504",7,6
"908","6564",7,7
"909","6603",7,7
"910","6613",7,6
"911","6619",7,7
"912","6703",7,7
"913","7102",7,6
"914","7182",7,7
"915","7473",7,7
"916","7601",7,6
"917","8359",7,7
"918","8819",7,7
"919","9209",7,7
"920","9414",7,7
"921","9421",7,6
"922","9549",7,6
"923","9861",7,7
"924","1330",6,6
"925","2213",6,6
"926","2503",6,6
"927","3119",6,6
"928","3239",6,6
"929","3259",6,6
"930","3506",6,6
"931","3623",6,6
"932","4172",6,6
"933","4384",6,6
"934","5206",6,6
"935","5828",6,6
"936","5882",6,6
"937","6312",6,6
"938","6526",6,6
"939","6539",6,6
"940","6541",6,6
"941","6545",6,6
"942","6547",6,6
"943","6652",6,6
"944","6724",6,6
"945","6727",6,6
"946","7328",6,6
"947","7343",6,6
"948","7359",6,6
"949","7367",6,6
"950","7381",6,6
"951","7527",6,6
"952","7562",6,6
"953","8233",6,6
"954","9171",6,6
"955","9223",6,6
"956","9328",6,6
"957","9346",6,6
"958","9372",6,6
"959","9429",6,6
"960","9594",6,6
"961","9595",6,6
"962","9609",6,6
"963","9821",6,6
"964","9853",6,6
"965","9869",6,6
