code,freq_finngen,freq_tays,freq_total
ZXD35,3816,8,3824
WX704,3089,683,3772
NF1DA,1946,1811,3757
KCW96,1147,2609,3756
NB1AE,1319,2428,3747
WW200,2833,892,3725
DCA20,3189,533,3722
TKE00,3608,113,3721
KH1FT,495,3197,3692
NHK30,3542,142,3684
PJD64,626,3050,3676
XFE00,3573,98,3671
ZXD31,3625,22,3647
WXQ12,2272,1373,3645
YG1AD,725,2914,3639
RS230,13,3602,3615
TNX00,2010,1602,3612
FPE20,2474,1116,3590
LDC03,3057,513,3570
NH3DA,2226,1344,3570
JJ2AT,1632,1932,3564
ZXC20,3548,12,3560
EB1JA,396,3157,3553
WF029,3450,94,3544
IGY99,3515,2,3517
ZXC10,2369,1143,3512
QDE10,2279,1217,3496
XKC03,2248,1243,3491
NH3EA,943,2498,3441
LEF03,2572,824,3396
TLC02,2571,818,3389
KCD02,1810,1564,3374
NE1CG,1719,1644,3363
HAD30,2058,1297,3355
ND2DA,2029,1316,3345
XKD06,2285,1043,3328
XG470,3205,113,3318
DJD20,3126,191,3317
NA3EA,2844,467,3311
LCD10,2472,837,3309
WX1DG,61,3246,3307
NGF35,3238,67,3305
PD5BD,1679,1626,3305
KEC01,1022,2242,3264
JN1DG,1096,2159,3255
YL1AD,787,2467,3254
YX9BD,275,2972,3247
XG466,3110,122,3232
CBB30,2025,1191,3216
R5130,3144,66,3210
XG474,2112,1090,3202
KH1BT,660,2539,3199
WX199,1131,2062,3193
NHG80,2857,328,3185
WD505,1422,1762,3184
LCH11,2949,230,3179
KEB00,633,2542,3175
SCA01,690,2475,3165
R1250,2308,852,3160
LEF00,2454,693,3147
JF1AB,677,2465,3142
1302,22,3074,3096
ABC16,3016,78,3094
LA2AE,3085,8,3093
JEA01,2331,746,3077
ND2BA,714,2363,3077
NG1BG,2292,778,3070
MAE00,2863,198,3061
WVC10,928,2119,3047
XW1AT,298,2741,3039
JN1CG,2019,1019,3038
TPH90,929,2084,3013
JDB10,654,2348,3002
TGC00,1874,1111,2985
SBB00,2135,843,2978
JA1AE,1018,1949,2967
QDB05,2062,886,2948
NE1BG,1632,1307,2939
ND1BA,1203,1732,2935
R4130,2889,40,2929
WX200,703,2212,2915
UJF92,1360,1548,2908
DM1AI,1026,1829,2855
QCE10,1718,1129,2847
KDE20,176,2669,2845
WX000,2199,626,2825
XA402,2738,86,2824
XKD03,1520,1287,2807
CKC10,2779,23,2802
