concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
1434,4086269,Maps to,2003-01-01,2030-12-31,NA,USAGI,Procedure
1434,4330515,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
1434,37109097,Maps to,2017-07-31,2030-12-31,NA,USAGI,Procedure
1434,36713228,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
1443,4144580,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1447,4269233,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1460,4013060,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1467,4234743,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1470,4071702,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
1473,4091138,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
1479,4246330,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
1506,4105083,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1507,42872923,Maps to,2012-07-31,2030-12-31,NA,USAGI,Procedure
1509,4089174,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1511,4336549,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1511,4339494,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1512,4069384,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1515,4048326,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1516,4067379,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1518,4028525,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1520,4067256,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1520,4048321,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1536,4286023,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1542,4067257,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1554,4048622,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1556,4048622,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1568,4082875,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1568,4061008,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1571,37397388,Maps to,2016-07-31,2030-12-31,NA,USAGI,Procedure
1601,4010253,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1606,4232331,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1607,4277906,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1611,4190437,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1615,4048635,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1616,4070017,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1618,40491343,Maps to,2011-01-31,2030-12-31,NA,USAGI,Procedure
1619,4186207,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1621,4221825,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1624,4048636,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1625,4234544,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1629,4048637,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1652,4103523,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1653,4301600,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1654,4176717,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1655,4068676,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1668,4189376,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1669,4335676,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
1671,4229284,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1672,4229284,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1672,4138127,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1674,4217829,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1675,4308648,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1676,4191258,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1677,4337585,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1680,4339601,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1681,4298560,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1683,4078484,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1699,4054029,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
1706,4147812,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1706,36713302,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
1711,4163536,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1712,4107081,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1719,4189219,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1726,4017700,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1730,4119275,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1731,44811683,Maps to,2014-04-01,2019-07-31,NA,USAGI,Procedure
1731,37397383,Maps to,2016-07-31,2019-07-31,NA,USAGI,Procedure
1731,37397385,Maps to,2016-07-31,2019-07-31,NA,USAGI,Procedure
1732,44811683,Maps to,2014-04-01,2019-10-31,NA,USAGI,Procedure
1732,37397385,Maps to,2016-07-31,2019-10-31,NA,USAGI,Procedure
1735,44811683,Maps to,2014-04-01,2030-12-31,NA,USAGI,Procedure
1735,37397385,Maps to,2016-07-31,2030-12-31,NA,USAGI,Procedure
1735,37397383,Maps to,2016-07-31,2030-12-31,NA,USAGI,Procedure
1740,4233227,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1741,40487881,Maps to,2011-01-31,2030-12-31,NA,USAGI,Procedure
1743,4081877,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1745,4081551,Maps to,2005-03-01,2030-12-31,NA,USAGI,Procedure
1750,4208393,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1751,4068898,Maps to,2002-01-01,2030-12-31,NA,USAGI,Procedure
1752,4208393,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1753,2001119,Maps to,2002-01-01,2030-12-31,NA,USAGI,Procedure
1754,4174527,Maps to,2000-01-01,2030-12-31,NA,USAGI,Procedure
1755,4053188,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1763,2001129,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1783,4071009,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1786,4070608,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
