"","CODE1","n_codes","n_patients"
"707","B38",88,73
"708","U35",88,78
"709","T63",87,39
"710","D72",86,44
"711","Y79",86,15
"712","P10",85,22
"713","P78",84,49
"714","X25",82,73
"715","F15",81,77
"716","B48",80,72
"717","B83",80,30
"718","P43",80,29
"719","X09",80,64
"720","D49",78,72
"721","T15",78,55
"722","D80",77,24
"723","S49",75,33
"724","A51",74,51
"725","F17",74,68
"726","P30",74,55
"727","S52",74,71
"728","W10",74,69
"729","B84",73,22
"730","U61",73,47
"731","X03",72,66
"732","X50",72,23
"733","Y27",72,57
"734","T41",71,71
"735","A65",70,64
"736","K38",70,45
"737","T49",70,54
"738","U50",69,26
"739","Y74",69,46
"740","A37",68,64
"741","K71",68,51
"742","R25",68,52
"743","-41",66,48
"744","A42",66,55
"745","U98",66,50
"746","Y76",66,51
"747","L59",64,61
"748","Y72",64,48
"749","F85",63,48
"750","H39",63,56
"751","K69",63,55
"752","W17",62,47
"753","A84",61,50
"754","R98",61,41
"755","T04",61,27
"756","U88",61,35
"757","B62",60,51
"758","D13",60,42
"759","H77",60,46
"760","X79",60,47
"761","L49",59,32
"762","N50",59,33
"763","A90",58,30
"764","B25",58,51
"765","K82",58,24
"766","H74",57,23
"767","A41",56,52
"768","U80",56,8
"769","Z02",55,41
"770","S60",54,50
"771","D26",53,42
"772","H99",53,39
"773","L30",53,51
"774","N16",52,40
"775","T70",52,36
"776","A66",51,46
"777","L06",51,36
"778","K61",50,38
"779","K63",50,49
"780","W96",50,40
"781","Z58",50,7
"782","D41",49,48
"783","L44",49,23
"784","N31",49,47
"785","H78",48,43
"786","X78",48,38
"787","D85",47,41
"788","T61",47,44
"789","Y24",46,26
"790","H72",45,40
"791","Y01",45,35
"792","Y26",45,37
"793","Y81",45,30
"794","R34",44,36
"795","R69",44,33
"796","S69",44,42
"797","B70",43,36
"798","N48",43,42
"799","X80",43,24
"800","X28",42,29
"801","X85",41,39
"802","A88",40,38
"803","B03",40,15
"804","H79",40,35
"805","-47",39,24
"806","U26",39,27
"807","X24",38,26
"808","A53",37,11
"809","D79",37,30
"810","S81",37,27
"811","W95",37,33
"812","Y55",37,12
"813","H73",36,29
"814","P47",36,30
"815","R26",36,27
"816","-32",35,33
"817","A40",35,19
"818","D22",35,23
"819","P08",35,32
"820","P64",35,25
"821","K73",34,14
"822","H75",33,28
"823","K49",33,31
"824","K70",33,17
"825","L94",32,11
"826","P13",32,16
"827","R61",32,27
"828","R73",32,26
"829","R86",32,10
"830","X49",32,32
"831","Y48",32,26
"832","A32",31,26
"833","A75",31,26
"834","K44",31,27
"835","L62",31,29
"836","P09",31,18
"837","-36",30,30
"838","B55",30,23
"839","K59",30,29
"840","S95",30,28
"841","U49",30,8
"842","U59",30,12
"843","X75",30,14
"844","Y10",30,22
"845","F83",29,27
"846","R62",29,22
"847","R87",29,26
"848","T38",29,28
"849","B86",28,22
"850","D23",28,18
"851","D54",28,27
"852","A25",27,20
"853","D30",27,27
"854","Z50",27,19
"855","F91",26,25
"856","N85",26,14
"857","S43",26,25
"858","U85",26,6
"859","W81",26,22
"860","X30",26,25
"861","B31",25,19
"862","B61",25,20
"863","D63",25,17
"864","F50",25,8
"865","Y60",25,21
"866","B59",24,17
"867","H69",24,21
"868","L43",24,23
"869","N57",24,6
"870","W62",24,24
"871","X22",24,23
"872","Y03",24,17
"873","Y86",24,12
"874","A18",23,21
"875","B78",23,18
"876","F84",23,8
"877","P65",23,21
"878","S51",23,16
"879","W64",23,22
"880","Z31",23,20
"881","A47",22,19
"882","L65",22,11
"883","Y44",22,6
"884","B45",21,20
"885","F14",21,20
"886","R38",21,19
"887","S90",21,21
"888","U38",21,20
"889","W63",21,21
"890","L63",20,18
"891","P59",20,13
"892","R90",20,19
"893","T02",20,12
"894","W34",20,19
"895","W69",20,19
"896","A36",19,19
"897","H15",19,17
"898","R92",19,15
"899","S45",19,16
"900","T44",19,17
"901","W54",19,19
"902","A16",18,14
"903","H85",18,18
"904","T26",18,17
"905","U69",18,13
"906","U78",18,14
"907","H49",17,17
"908","T46",17,16
"909","Y14",17,15
"910","Z69",17,13
"911","P60",16,14
"912","R30",16,16
"913","U51",16,7
"914","Z49",16,9
"915","B46",15,14
"916","B90",15,9
"917","D34",15,14
"918","F60",15,12
"919","H63",15,13
