CodeId;Abbreviation;ShortName;LongName;ParentId;HierarchyLevel;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;CreatedDate;A:Alakomponentti (icpc);ALONG:Anm.;ALONG:Ensisijainen ICD-10;ALONG:Exkluderar;A:Harkitse (icpc);ALONG:Huom.;ALONG:ICD-10;ALONG:Inkluderar;A:Komponent (icpc);A:Komponentti (icpc);ALONG:Kriteerit (icpc);ALONG:Kriterier (icpc);A:Lehtisolmu;A:Långt_namn;ALONG:Mukaan lukien;ALONG:Pois lukien;A:Subkomponent (icpc);A:Sukupuoli;A:Överväg (icpc);ALONG:Consider_EN;ALONG:Criteria_EN;ALONG:Exclusion_EN;ALONG:Inclusion_EN;A:Long_name;A:Päivystysapu116117
A27;Huoli/pelko muusta sairaudesta, määrittämätön;Huoli/pelko muusta sairaudesta, määrittämätön;Huoli/pelko muusta sairaudesta, määrittämätön;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1404;04.02.2008;;;Z71.1;om patienten har sjukdomen./koda sjukdomen;;;Z71.1;;1 Symptom/besvär;1 Oireet ja vaivat;potilaan huoli/pelko muusta yleisluontoisesta sairaudesta, ilman/ennen varmistettua diagnoosia;oro eller rädsla för sjukdom hos en patient utan sjukdom eller till dess att diagnosen är verifierad;T;Rädsla för annan sjukdom UNS;;syövän pelko määrittämätön A26;;;;;concern about/fear of an other disease not related to a specific chapter in a patient without the disease/until the diagnosis is proven;fear of cancer NOS A26, if the patient has the disease, code the disease;;Fear of other disease NOS;
A28;Toiminnanvajaus, määrittämätön;Toiminnanvajaus, määrittämätön;Toiminnanvajaus, määrittämätön;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1405;04.02.2008;;COOP / WONCA-kartorna lämpar sig för att dokumentera patientens funktionstillstånd (se kapitel 8).;Z73.6;fall A29;;Ks. COOP/Wonca-taulukot toimintakyvyn kuvaamisessa (luku 8) kirjassa ICPC-2 Perusterveydenhuollon kansainvälinen luokitus (Kuntaliitto 2010);R29.6,Z73.6,Z74.0,Z74.1,Z74.2,Z74.3,Z74.8,Z74.9,Z99.0,Z99.3,Z99.8,Z99.9;;1 Symptom/besvär;1 Oireet ja vaivat;yleisluontoinen toiminnanvajaus tai toiminnan rajoittuneisuus;funktionsbegränsning eller handikapp, som inte är relaterad till en sjukdom i något annat kapitel;T;Funktionsbegränsning / handikapp UNS;;kaatuminen A29;;;;;limitation of function/disability not related to a problem in any other chapter;falls A29;;Limited function/disability NOS;
A29;Muu yleisoire/-vaiva;Muu yleisoire/-vaiva;Muu yleisoire/-vaiva;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1406;04.02.2008;;;R68.88;;;;R68.0,R68.8,R68.81,R68.88;klumpighet./sömnighet./fall;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Annat allmänt symptom / besvär;kömpelyys./kaatuilu./uneliaisuus./tokkuraisuus;;;;;;;;Clumsiness, drowsiness, falls, somnolence;General symptom/complaint other;
A30;Yleiset ja epämääräiset, Laaja tutkimus/arviointi;Yleiset ja epämääräiset, Laaja tutkimus/arviointi;Yleiset ja epämääräiset, Laaja terveydentilan arviointi/tarkastus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1407;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Medicinsk undersökning / grundlig;;;;;;;;;;;
A31;Yleiset ja epämääräiset, Suppea tutkimus/arviointi;Yleiset ja epämääräiset, Suppea tutkimus/arviointi;Yleiset ja epämääräiset, Suppea terveydentilan arviointi/tarkastus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1408;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Medicinsk undersökning / partiell;;;;;;;;;;;
A32;Yleiset ja epämääräiset, Allergiatutkimus;Yleiset ja epämääräiset, Allergiatutkimus;Yleiset ja epämääräiset, Allergiatutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1409;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Allergitest;;;;;;;;;;;
A33;Yleiset ja epämääräiset, Mikrobiol./immun. koe;Yleiset ja epämääräiset, Mikrobiol./immun. koe;Yleiset ja epämääräiset, Mikrobiologinen/immunologinen koe;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1410;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Mikrobiologiskt / annat immunologiskt prov;;;;;;;;;;;
A34;Yleiset ja epämääräiset, Veritutkimus;Yleiset ja epämääräiset, Veritutkimus;Yleiset ja epämääräiset, Veritutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1411;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Blodprov;;;;;;;;;;;
A35;Yleiset ja epämääräiset, Virtsatutkimus;Yleiset ja epämääräiset, Virtsatutkimus;Yleiset ja epämääräiset, Virtsatutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1412;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Urinprov;;;;;;;;;;;
A36;Yleiset ja epämääräiset, Ulostetutkimus;Yleiset ja epämääräiset, Ulostetutkimus;Yleiset ja epämääräiset, Ulostetutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1413;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Avföringsprov;;;;;;;;;;;
