concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
44500679,44500679,Maps to,20150918,20991231,NA,OMOP
44503037,44503037,Maps to,20150918,20991231,NA,OMOP
44499810,44499810,Maps to,20150918,20991231,NA,OMOP
44499515,44499515,Maps to,20150918,20991231,NA,OMOP
44498983,44498983,Maps to,20150918,20991231,NA,OMOP
44502946,44502946,Maps to,20150918,20991231,NA,OMOP
44502331,44502331,Maps to,20150918,20991231,NA,OMOP
44501884,44501884,Maps to,20150918,20991231,NA,OMOP
44501242,44501242,Maps to,20150918,20991231,NA,OMOP
44500461,44500461,Maps to,20150918,20991231,NA,OMOP
44500459,44500459,Maps to,20150918,20991231,NA,OMOP
44499569,44499569,Maps to,20150918,20991231,NA,OMOP
44501531,44501531,Maps to,20150918,20991231,NA,OMOP
44501478,44501478,Maps to,20150918,20991231,NA,OMOP
44503522,44503522,Maps to,20150918,20991231,NA,OMOP
44503040,44503040,Maps to,20150918,20991231,NA,OMOP
44502794,44502794,Maps to,20150918,20991231,NA,OMOP
44500537,44500537,Maps to,20150918,20991231,NA,OMOP
44500455,44500455,Maps to,20150918,20991231,NA,OMOP
44501081,44501081,Maps to,20150918,20991231,NA,OMOP
44501958,44501958,Maps to,20150918,20991231,NA,OMOP
44501689,44501689,Maps to,20150918,20991231,NA,OMOP
44502190,44502190,Maps to,20150918,20991231,NA,OMOP
44501145,44501145,Maps to,20150918,20991231,NA,OMOP
44499593,44499593,Maps to,20150918,20991231,NA,OMOP
44501743,44501743,Maps to,20150918,20991231,NA,OMOP
44499543,44499543,Maps to,20150918,20991231,NA,OMOP
44500828,44500828,Maps to,20150918,20991231,NA,OMOP
44499959,44499959,Maps to,20150918,20991231,NA,OMOP
44499838,44499838,Maps to,20150918,20991231,NA,OMOP
44502863,44502863,Maps to,20150918,20991231,NA,OMOP
44500342,44500342,Maps to,20150918,20991231,NA,OMOP
44502045,44502045,Maps to,20150918,20991231,NA,OMOP
44503691,140357,Maps to,20150918,20991231,NA,OMOP
44505325,4112854,Maps to,20150918,20991231,NA,OMOP
44503881,4113105,Maps to,20150918,20991231,NA,OMOP
44505078,4102382,Maps to,20150918,20991231,NA,OMOP
44503966,4313789,Maps to,20150918,20991231,NA,OMOP
44503437,4317020,Maps to,20150918,20991231,NA,OMOP
44504375,4317691,Maps to,20150918,20991231,NA,OMOP
44504962,45768868,Maps to,20150918,20991231,NA,OMOP
44504451,45768874,Maps to,20150918,20991231,NA,OMOP
44498957,44498957,Maps to,20150918,20991231,NA,OMOP
44499004,44499004,Maps to,20150918,20991231,NA,OMOP
44501797,44501797,Maps to,20150918,20991231,NA,OMOP
44502332,44502332,Maps to,20150918,20991231,NA,OMOP
44502422,44502422,Maps to,20150918,20991231,NA,OMOP
44499520,44499520,Maps to,20150918,20991231,NA,OMOP
44499910,44499910,Maps to,20150918,20991231,NA,OMOP
44502831,44502831,Maps to,20150918,20991231,NA,OMOP
44501819,44501819,Maps to,20150918,20991231,NA,OMOP
44500879,44500879,Maps to,20150918,20991231,NA,OMOP
44499432,44499432,Maps to,20150918,20991231,NA,OMOP
44499620,44499620,Maps to,20150918,20991231,NA,OMOP
44499419,44499419,Maps to,20150918,20991231,NA,OMOP
44501038,44501038,Maps to,20150918,20991231,NA,OMOP
44501166,44501166,Maps to,20150918,20991231,NA,OMOP
44502366,44502366,Maps to,20150918,20991231,NA,OMOP
44500956,44500956,Maps to,20150918,20991231,NA,OMOP
44502380,44502380,Maps to,20150918,20991231,NA,OMOP
44499737,44499737,Maps to,20150918,20991231,NA,OMOP
44500074,44500074,Maps to,20150918,20991231,NA,OMOP
44499952,44499952,Maps to,20150918,20991231,NA,OMOP
44500959,44500959,Maps to,20150918,20991231,NA,OMOP
44501985,44501985,Maps to,20150918,20991231,NA,OMOP
44499666,44499666,Maps to,20150918,20991231,NA,OMOP
44501940,44501940,Maps to,20150918,20991231,NA,OMOP
44500317,44500317,Maps to,20150918,20991231,NA,OMOP
44500161,44500161,Maps to,20150918,20991231,NA,OMOP
44502053,44502053,Maps to,20150918,20991231,NA,OMOP
44501215,44501215,Maps to,20150918,20991231,NA,OMOP
44500328,44500328,Maps to,20150918,20991231,NA,OMOP
44501660,44501660,Maps to,20150918,20991231,NA,OMOP
44500904,44500904,Maps to,20150918,20991231,NA,OMOP
44502516,44502516,Maps to,20150918,20991231,NA,OMOP
